row_index,case_id,question,unique_feature_index,is_multiple_choice
59,TCGA-BH-A202,what was the pathologic stage?,48,True
60,TCGA-BH-A202,was there amplification of the her2/neu gene?,49,True
61,TCGA-BH-A202,what is histological_type according to the slide?,50,False
62,TCGA-BH-A202,Could you predict progesterone_receptor?,29,False
63,TCGA-BH-A202,"From the slide, can you infer the vital_status?",51,False
64,TCGA-BH-A202,what is the result of survival time in the slide?,19,False
65,TCGA-AR-A0U3,what type of cancer was found in the breast?,52,True
66,TCGA-AR-A0U3,what was the size of the tumor?,53,True
67,TCGA-AR-A0U3,what was the stage classification of the tumor?,54,True
68,TCGA-AR-A0U3,how much of the tumor was accounted for by ductal carcinoma in-situ?,55,True
69,TCGA-AR-A0U3,what was the result of the estrogen receptor (er) staining?,56,True
70,TCGA-AR-A0U3,what is histological_type according to the slide?,50,False
71,TCGA-AR-A0U3,please predict progesterone_receptor?,17,False
72,TCGA-AR-A0U3,please predict her2?,57,False
73,TCGA-AR-A0U3,please predict vital_status?,30,False
74,TCGA-AR-A0U3,what is the result of survival time in the slide?,19,False
75,TCGA-AO-A0JE,what is the grade of the invasive ductal carcinoma?,33,True
76,TCGA-AO-A0JE,what additional findings are present in the tumor?,58,True
77,TCGA-AO-A0JE,what is found in the surrounding breast tissue?,59,True
78,TCGA-AO-A0JE,where were receptor studies performed?,60,True
79,TCGA-AO-A0JE,"From the slide, can you infer the histological_type?",7,False
80,TCGA-AO-A0JE,what is the result of progesterone_receptor in the slide?,8,False
81,TCGA-AO-A0JE,Could you predict her2?,61,False
82,TCGA-AO-A0JE,what is the result of vital_status in the slide?,10,False
83,TCGA-AO-A0JE,Could you predict survival time?,62,False
84,TCGA-A1-A0SF,what is the size of the infiltrating ductal carcinoma in the breast?,37,True
85,TCGA-A1-A0SF,what is the grade of the invasive tumor in the breast?,63,True
86,TCGA-A1-A0SF,what is the result of her2/neu testing?,64,True
87,TCGA-A1-A0SF,what is the pathological finding in the soft tissue in the breast?,65,True
88,TCGA-A1-A0SF,what is the pathological finding in the ovary?,66,True
89,TCGA-A1-A0SF,please predict histological_type?,36,False
90,TCGA-A1-A0SF,Can you help the pathologist to predict progesterone_receptor?,67,False
91,TCGA-EW-A1P7,what was the grade assigned to the breast cancer according to the nottingham score?,68,True
92,TCGA-EW-A1P7,what was the nuclear grade of the ductal adenocarcinoma found in the breast mass?,69,True
93,TCGA-EW-A1P7,what were the results of the tumor margin assessment?,70,True
94,TCGA-EW-A1P7,what was the receptor status for estrogen receptor (er) and progesterone receptor (pr)?,71,True
95,TCGA-EW-A1P7,what was the receptor status for her 2-neu?,72,True
96,TCGA-EW-A1P7,"From the slide, can you infer the histological_type?",7,False
97,TCGA-EW-A1P7,please predict progesterone_receptor?,17,False
98,TCGA-EW-A1P7,please predict her2?,57,False
99,TCGA-EW-A1P7,Could you predict vital_status?,24,False
100,TCGA-EW-A1P7,"From the slide, can you infer the survival time?",11,False
101,TCGA-BH-A0DG,what is the pathological stage of the tumor?,73,True
102,TCGA-BH-A0DG,what percentage of the tumor volume comprises the in situ component?,74,True
103,TCGA-BH-A0DG,what is the grade of the tumor according to the nottingham score?,75,True
104,TCGA-BH-A0DG,what is the hormonal receptor status of the tumor?,76,True
105,TCGA-BH-A0DG,what type of breast tissue is present besides the tumor?,77,True
106,TCGA-BH-A0DG,Can you help the pathologist to predict histological_type?,16,False
107,TCGA-BH-A0DG,please predict progesterone_receptor?,17,False
108,TCGA-BH-A0DG,Could you predict vital_status?,24,False
109,TCGA-BH-A0DG,Can you help the pathologist to predict survival time?,78,False
110,TCGA-BH-A0DD,what is the histological finding of the breast simple mastectomy?,79,True
111,TCGA-BH-A0DD,what is the histological finding of the modified radical mastectomy?,80,True
112,TCGA-BH-A0DD,what is the classification of the invasive component of the tumor?,81,True
113,TCGA-BH-A0DD,what is the receptor status mentioned in the slide?,82,True
114,TCGA-BH-A0DD,please predict histological_type?,36,False
115,TCGA-BH-A0DD,Can you help the pathologist to predict progesterone_receptor?,67,False
116,TCGA-BH-A0DD,what is the result of vital_status in the slide?,10,False
117,TCGA-BH-A0DD,Can you help the pathologist to predict survival time?,78,False
118,TCGA-B6-A0IA,what type of carcinoma was found in the patient's breast biopsy?,83,True
119,TCGA-B6-A0IA,what is the size of the tumor found in the patient's breast?,84,True
120,TCGA-B6-A0IA,what other changes were found in the patient's breast?,85,True
121,TCGA-B6-A0IA,was there any residual carcinoma in the previous biopsy site?,86,True
122,TCGA-B6-A0IA,what is histological_type according to the slide?,50,False
123,TCGA-B6-A0IA,"From the slide, can you infer the progesterone_receptor?",87,False
124,TCGA-B6-A0IA,Can you help the pathologist to predict vital_status?,18,False
125,TCGA-B6-A0IA,please predict survival time?,31,False
126,TCGA-AC-A2FF,what type of carcinoma did the patient have?,88,True
127,TCGA-AC-A2FF,where was the metastatic involvement found?,89,True
128,TCGA-AC-A2FF,what type of procedure did the patient undergo?,90,True
129,TCGA-AC-A2FF,what additional tests were performed?,91,True
130,TCGA-AC-A2FF,what does the surgical slide provide information on?,92,True
131,TCGA-AC-A2FF,what type of node was involved in the metastatic carcinoma?,93,True
132,TCGA-AC-A2FF,what is histological_type according to the slide?,50,False
133,TCGA-AC-A2FF,what is the result of progesterone_receptor in the slide?,8,False
134,TCGA-AC-A2FF,please predict vital_status?,30,False
135,TCGA-AC-A2FF,please predict survival time?,31,False
136,TCGA-AC-A2FG,what is the histological type of the breast tumor?,94,True
137,TCGA-AC-A2FG,what is the size of the tumor?,12,True
138,TCGA-AC-A2FG,what is the elston modification of bloom-richardson grade?,95,True
139,TCGA-AC-A2FG,what is the status of the surgical margins?,96,True
140,TCGA-AC-A2FG,what other findings were observed in the pathological slide?,97,True
141,TCGA-AC-A2FG,what is the result of histological_type in the slide?,98,False
142,TCGA-AC-A2FG,please predict progesterone_receptor?,17,False
143,TCGA-AC-A2FG,what is vital_status according to the slide?,43,False
144,TCGA-AC-A2FG,"From the slide, can you infer the survival time?",11,False
145,TCGA-A2-A259,what was the grade of the invasive ductal carcinoma present in the patient's breast?,99,True
146,TCGA-A2-A259,what were the findings related to her2 neu in the patient's breast tissue?,100,True
147,TCGA-A2-A259,what was the size of the patient's tumor?,101,True
148,TCGA-A2-A259,which hormone receptors were positive in the patient's breast tissue?,102,True
149,TCGA-A2-A259,what type of carcinoma was present along with invasive ductal carcinoma?,103,True
150,TCGA-A2-A259,what is histological_type according to the slide?,50,False
151,TCGA-A2-A259,Can you help the pathologist to predict progesterone_receptor?,67,False
152,TCGA-A2-A259,Can you help the pathologist to predict vital_status?,18,False
153,TCGA-A2-A259,"From the slide, can you infer the survival time?",11,False
154,TCGA-A1-A0SJ,what is the pathological finding of the breast?,104,True
155,TCGA-A1-A0SJ,what is the immunohistochemical finding of the tumor?,105,True
156,TCGA-A1-A0SJ,"From the slide, can you infer the histological_type?",7,False
157,TCGA-A1-A0SJ,what is progesterone_receptor according to the slide?,42,False
158,TCGA-A1-A0SJ,Can you help the pathologist to predict her2?,106,False
159,TCGA-E9-A1N6,what was the size of the breast tumor?,107,True
160,TCGA-E9-A1N6,was the tumor well-differentiated or poorly differentiated?,108,True
161,TCGA-E9-A1N6,what type of carcinoma was identified in the tumor?,109,True
162,TCGA-E9-A1N6,what was the missing data preventing the determination of the nottingham histologic score?,110,True
163,TCGA-E9-A1N6,was any information provided on neo-adjuvant treatment?,111,True
164,TCGA-E9-A1N6,please predict histological_type?,36,False
165,TCGA-E9-A1N6,please predict progesterone_receptor?,17,False
166,TCGA-E9-A1N6,what is the result of vital_status in the slide?,10,False
167,TCGA-E9-A1N6,Could you predict survival time?,62,False
168,TCGA-LL-A5YP,what was the size of the high-grade ductal carcinoma in situ (dcis) in the breast?,112,True
169,TCGA-LL-A5YP,what was the grade of the invasive ductal carcinoma in the breast?,113,True
170,TCGA-LL-A5YP,were the margins involved with tumor?,114,True
171,TCGA-LL-A5YP,what additional findings were noted apart from the carcinomas?,115,True
172,TCGA-LL-A5YP,please predict histological_type?,36,False
173,TCGA-LL-A5YP,"From the slide, can you infer the progesterone_receptor?",87,False
174,TCGA-LL-A5YP,Could you predict her2?,61,False
175,TCGA-LL-A5YP,"From the slide, can you infer the vital_status?",51,False
176,TCGA-LL-A5YP,Could you predict survival time?,62,False
177,TCGA-AO-A03T,what type of cancer is mentioned in the slide?,116,True
178,TCGA-AO-A03T,where has the tumor spread to?,117,True
179,TCGA-AO-A03T,what type of tissue changes are mentioned in the slide?,118,True
180,TCGA-AO-A03T,which hormone receptors show positivity in the tissue?,119,True
181,TCGA-AO-A03T,what does the slide confirm about the diagnosis?,120,True
182,TCGA-AO-A03T,what stains were performed on the tissue?,121,True
183,TCGA-AO-A03T,"From the slide, can you infer the histological_type?",7,False
184,TCGA-AO-A03T,Can you help the pathologist to predict progesterone_receptor?,67,False
185,TCGA-AO-A03T,please predict her2?,57,False
186,TCGA-AO-A03T,"From the slide, can you infer the vital_status?",51,False
187,TCGA-AO-A03T,please predict survival time?,31,False
188,TCGA-C8-A3M7,what is the histological grade of the primary tumor?,122,True
189,TCGA-C8-A3M7,what is the patient's karnofsky performance scale score indicating?,123,True
190,TCGA-C8-A3M7,what type of carcinoma is the primary tumor?,124,True
191,TCGA-C8-A3M7,is the patient currently on any medications?,125,True
192,TCGA-C8-A3M7,is there any information about the presence of distant metastasis?,126,True
193,TCGA-C8-A3M7,what is the result of histological_type in the slide?,98,False
194,TCGA-C8-A3M7,Could you predict progesterone_receptor?,29,False
195,TCGA-C8-A3M7,what is vital_status according to the slide?,43,False
196,TCGA-C8-A3M7,Can you help the pathologist to predict survival time?,78,False
197,TCGA-E9-A227,what was the size of the tumor?,53,True
198,TCGA-E9-A227,what is histological_type according to the slide?,50,False
199,TCGA-E9-A227,"From the slide, can you infer the progesterone_receptor?",87,False
200,TCGA-E9-A227,what is vital_status according to the slide?,43,False
201,TCGA-E9-A227,what is the result of survival time in the slide?,19,False
202,TCGA-EW-A1IY,what were the findings of the examination of the sentinel node #3?,127,True
203,TCGA-EW-A1IY,what is the size of the infiltrating ductal carcinoma in the breast?,37,True
204,TCGA-EW-A1IY,what is the nuclear grade of the infiltrating ductal carcinoma?,128,True
205,TCGA-EW-A1IY,were there any lymphovascular invasions observed?,129,True
206,TCGA-EW-A1IY,which immunostain was positive in the tumor cells?,130,True
207,TCGA-EW-A1IY,please predict histological_type?,36,False
208,TCGA-EW-A1IY,please predict progesterone_receptor?,17,False
209,TCGA-EW-A1IY,what is the result of vital_status in the slide?,10,False
210,TCGA-EW-A1IY,Could you predict survival time?,62,False
211,TCGA-LL-A442,what is the histologic grade of the infiltrating ductal carcinoma?,131,True
212,TCGA-LL-A442,is there any invasive tumor seen at the surgical margins?,132,True
213,TCGA-LL-A442,what is the size of the breast tumor?,133,True
214,TCGA-LL-A442,what is the histologic type of the breast tumor?,134,True
215,TCGA-LL-A442,does the slide provide information about the hormonal receptor status of the breast cancer?,135,True
216,TCGA-EW-A2FW,what is the size of the tumor?,12,True
217,TCGA-EW-A2FW,what is the histological grade of the invasive carcinoma?,136,True
218,TCGA-EW-A2FW,what is the presence of estrogen and progesterone receptors in tumor cells?,137,True
219,TCGA-EW-A2FW,what is the final pathologic stage of the tumor?,138,True
220,TCGA-EW-A2FW,what is the status of her2?,139,True
221,TCGA-EW-A2FW,what is the result of histological_type in the slide?,98,False
222,TCGA-EW-A2FW,please predict progesterone_receptor?,17,False
223,TCGA-EW-A2FW,please predict her2?,57,False
224,TCGA-EW-A2FW,what is the result of vital_status in the slide?,10,False
225,TCGA-EW-A2FW,what is the result of survival time in the slide?,19,False
226,TCGA-E2-A105,what size was the stellate mass found in the breast?,140,True
227,TCGA-E2-A105,what is the final diagnosis?,141,True
228,TCGA-E2-A105,are the surgical margins free of tumor?,142,True
229,TCGA-E2-A105,please predict histological_type?,36,False
230,TCGA-E2-A105,please predict progesterone_receptor?,17,False
231,TCGA-E2-A105,"From the slide, can you infer the her2?",143,False
232,TCGA-E2-A105,"From the slide, can you infer the vital_status?",51,False
233,TCGA-E2-A105,what is the result of survival time in the slide?,19,False
234,TCGA-AR-A255,what was the size of the mass that was excised?,144,True
235,TCGA-AR-A255,what is histological_type according to the slide?,50,False
236,TCGA-AR-A255,please predict progesterone_receptor?,17,False
237,TCGA-AR-A255,what is her2 according to the slide?,9,False
238,TCGA-AR-A255,"From the slide, can you infer the vital_status?",51,False
239,TCGA-AR-A255,what is survival time according to the slide?,145,False
240,TCGA-A2-A0EW,what was the final pathological stage of the patient's cancer?,146,True
241,TCGA-A2-A0EW,where in the patient's breast were the two tumors found?,147,True
242,TCGA-A2-A0EW,what were the tumors positive for and negative for?,148,True
243,TCGA-A2-A0EW,Can you help the pathologist to predict histological_type?,16,False
244,TCGA-A2-A0EW,"From the slide, can you infer the progesterone_receptor?",87,False
245,TCGA-A2-A0EW,please predict her2?,57,False
246,TCGA-A2-A0EW,"From the slide, can you infer the vital_status?",51,False
247,TCGA-A2-A0EW,Could you predict survival time?,62,False
248,TCGA-A8-A08R,what is the final tumor classification for the breast?,149,True
249,TCGA-A8-A08R,what is the tumor diameter in the breast?,150,True
250,TCGA-A8-A08R,what is the type of carcinoma found in the breast?,151,True
251,TCGA-A8-A08R,"is there any lymphatic, vascular, or perineural invasion present?",152,True
252,TCGA-A8-A08R,what is the grade of the tumor in the breast?,153,True
253,TCGA-A8-A08R,what is the result of histological_type in the slide?,98,False
254,TCGA-A8-A08R,what is the result of progesterone_receptor in the slide?,8,False
255,TCGA-A8-A08R,what is the result of her2 in the slide?,154,False
256,TCGA-BH-A0HL,what is the size of the tumor?,12,True
257,TCGA-BH-A0HL,what was found in the breast tissue besides invasive ductal carcinoma?,155,True
258,TCGA-BH-A0HL,what percentage of the tumor mass accounts for ductal carcinoma in situ?,156,True
259,TCGA-BH-A0HL,what is the closest margin to the tumor?,157,True
260,TCGA-BH-A0HL,what is the t stage of the tumor?,158,True
261,TCGA-BH-A0HL,"From the slide, can you infer the histological_type?",7,False
262,TCGA-BH-A0HL,"From the slide, can you infer the progesterone_receptor?",87,False
263,TCGA-BH-A0HL,Could you predict her2?,61,False
264,TCGA-BH-A0HL,Can you help the pathologist to predict vital_status?,18,False
265,TCGA-BH-A0HL,Could you predict survival time?,62,False
266,TCGA-E2-A15E,what is the size of the invasive ductal carcinoma in the breast?,159,True
267,TCGA-E2-A15E,what is the grade of the invasive ductal carcinoma in the breast?,160,True
268,TCGA-E2-A15E,which type of carcinoma shows necrosis?,161,True
269,TCGA-E2-A15E,"what are the results for er, pr, and her2?",162,True
270,TCGA-E2-A15E,Can you help the pathologist to predict histological_type?,16,False
271,TCGA-E2-A15E,what is the result of progesterone_receptor in the slide?,8,False
272,TCGA-E2-A15E,"From the slide, can you infer the vital_status?",51,False
273,TCGA-E2-A15E,Could you predict survival time?,62,False
274,TCGA-B6-A0WV,what is the size of the infiltrating tumor in the breast?,163,True
275,TCGA-B6-A0WV,what is the histologic grade of the infiltrating ductal carcinoma?,131,True
276,TCGA-B6-A0WV,is there any residual carcinoma in the mastectomy specimen?,164,True
277,TCGA-B6-A0WV,what type of proliferative changes were observed in the breast?,165,True
278,TCGA-B6-A0WV,is there any vascular invasion identified in the biopsied sample?,166,True
279,TCGA-B6-A0WV,"From the slide, can you infer the histological_type?",7,False
280,TCGA-B6-A0WV,Can you help the pathologist to predict progesterone_receptor?,67,False
281,TCGA-B6-A0WV,Could you predict vital_status?,24,False
282,TCGA-B6-A0WV,Could you predict survival time?,62,False
283,TCGA-E9-A1RA,what type of carcinoma was observed?,167,True
284,TCGA-E9-A1RA,what was the size of the lump in the breast?,168,True
285,TCGA-E9-A1RA,were there any specific histological details provided?,169,True
286,TCGA-E9-A1RA,what is the extent of the tumor?,170,True
287,TCGA-E9-A1RA,Can you help the pathologist to predict histological_type?,16,False
288,TCGA-E9-A1RA,please predict vital_status?,30,False
289,TCGA-E9-A1RA,what is the result of survival time in the slide?,19,False
290,TCGA-BH-A0BT,what were the characteristics of the invasive ductal carcinoma in the breast segmental mastectomy?,171,True
291,TCGA-BH-A0BT,what is the result in the medial new margin?,172,True
292,TCGA-BH-A0BT,"From the slide, can you infer the histological_type?",7,False
293,TCGA-BH-A0BT,please predict progesterone_receptor?,17,False
294,TCGA-BH-A0BT,please predict vital_status?,30,False
295,TCGA-BH-A0BT,what is the result of survival time in the slide?,19,False
296,TCGA-BH-A0HX,what is the nottingham grade for the ductal carcinoma in the breast?,173,True
297,TCGA-BH-A0HX,what is the hormone receptor status of the tumor in the breast?,174,True
298,TCGA-BH-A0HX,what is the grade of lobular carcinoma in the breast?,175,True
299,TCGA-BH-A0HX,what findings are mentioned in the breast?,176,True
300,TCGA-BH-A0HX,Could you predict histological_type?,177,False
301,TCGA-BH-A0HX,please predict progesterone_receptor?,17,False
302,TCGA-BH-A0HX,Could you predict vital_status?,24,False
303,TCGA-BH-A0HX,"From the slide, can you infer the survival time?",11,False
304,TCGA-A8-A08Z,what is the diameter of the tumor?,178,True
305,TCGA-A8-A08Z,what is the classification of the tumor?,179,True
306,TCGA-A8-A08Z,what is the status of the dorsal resection margin?,180,True
307,TCGA-A8-A08Z,what is the level of angioinvasion in the tumor?,181,True
308,TCGA-A8-A08Z,Can you help the pathologist to predict histological_type?,16,False
309,TCGA-A8-A08Z,what is the result of progesterone_receptor in the slide?,8,False
310,TCGA-A8-A08Z,please predict her2?,57,False
311,TCGA-D8-A1JL,what is the final diagnosis of the patient's breast condition?,182,True
312,TCGA-D8-A1JL,what was the size of the tumor found in the patient's breast?,183,True
313,TCGA-D8-A1JL,which hormone receptors were found to be absent in the neoplastic cell nuclei?,184,True
314,TCGA-D8-A1JL,what is the type of breast cancer indicated by the examination?,185,True
315,TCGA-D8-A1JL,what type of lesion was found in the glandular tissue surrounding the tumor?,186,True
316,TCGA-D8-A1JL,please predict histological_type?,36,False
317,TCGA-D8-A1JL,Can you help the pathologist to predict progesterone_receptor?,67,False
318,TCGA-D8-A1JL,"From the slide, can you infer the her2?",143,False
319,TCGA-D8-A1JL,"From the slide, can you infer the vital_status?",51,False
320,TCGA-D8-A1JL,"From the slide, can you infer the survival time?",11,False
321,TCGA-B6-A0RO,what was the size of the mass in the medial portion of the specimen?,187,True
322,TCGA-B6-A0RO,what is the histological type of the carcinoma?,188,True
323,TCGA-B6-A0RO,what percentage of the carcinoma is comprised of intraductal carcinoma?,189,True
324,TCGA-B6-A0RO,was there any tumor seen in the deep surgical margin?,190,True
325,TCGA-B6-A0RO,what non-neoplastic changes were observed in the breast tissue?,191,True
326,TCGA-B6-A0RO,what is histological_type according to the slide?,50,False
327,TCGA-B6-A0RO,what is progesterone_receptor according to the slide?,42,False
328,TCGA-B6-A0RO,Can you help the pathologist to predict vital_status?,18,False
329,TCGA-B6-A0RO,what is the result of survival time in the slide?,19,False
330,TCGA-GM-A2D9,what is the size of the tumor?,12,True
331,TCGA-GM-A2D9,what is the nuclear grade of the invasive ductal carcinoma?,192,True
332,TCGA-GM-A2D9,what percentage of the total tumor comprises focal intraductal carcinoma?,193,True
333,TCGA-GM-A2D9,are there any lymphatic/vascular invasions found in the slide?,194,True
334,TCGA-GM-A2D9,what is the ki-67 proliferation index of the invasive carcinoma?,195,True
335,TCGA-GM-A2D9,"From the slide, can you infer the histological_type?",7,False
336,TCGA-GM-A2D9,what is progesterone_receptor according to the slide?,42,False
337,TCGA-GM-A2D9,please predict vital_status?,30,False
338,TCGA-GM-A2D9,what is survival time according to the slide?,145,False
339,TCGA-A2-A0T6,what type of procedure did the patient have?,196,True
340,TCGA-A2-A0T6,in which breast did the slide find a benign sentinel node?,197,True
341,TCGA-A2-A0T6,what size was the benign sentinel node?,198,True
342,TCGA-A2-A0T6,what was found in the breast?,199,True
343,TCGA-A2-A0T6,what was the size of the irregular fibrous nodule found in the slide?,200,True
344,TCGA-A2-A0T6,what does the slide suggest about the presence of breast cancer?,201,True
345,TCGA-A2-A0T6,Could you predict histological_type?,177,False
346,TCGA-A2-A0T6,what is the result of progesterone_receptor in the slide?,8,False
347,TCGA-A2-A0T6,Can you help the pathologist to predict her2?,106,False
348,TCGA-A2-A0T6,what is the result of vital_status in the slide?,10,False
349,TCGA-A2-A0T6,"From the slide, can you infer the survival time?",11,False
350,TCGA-AQ-A7U7,what is the classification of the tumor?,179,True
351,TCGA-AQ-A7U7,what is the histologic grade of the tumor?,202,True
352,TCGA-AQ-A7U7,what is the size of the tumor?,12,True
353,TCGA-AQ-A7U7,is lymphovascular invasion present?,203,True
354,TCGA-AQ-A7U7,what additional condition is present along with invasive lobular carcinoma?,204,True
355,TCGA-AQ-A7U7,what is the stage of breast cancer for the patient?,205,True
356,TCGA-AN-A0XS,what type of cancer does the patient have?,206,True
357,TCGA-AN-A0XS,what is the grade of the tumor?,207,True
358,TCGA-AN-A0XS,what is the stage of the tumor?,208,True
359,TCGA-AN-A0XS,has any treatment been administered yet?,209,True
360,TCGA-AN-A0XS,what type of carcinoma is the tumor?,210,True
361,TCGA-AN-A0XS,what was obtained in addition to the tumor sample?,211,True
362,TCGA-AN-A0XS,please predict histological_type?,36,False
363,TCGA-AN-A0XS,"From the slide, can you infer the progesterone_receptor?",87,False
364,TCGA-AN-A0XS,"From the slide, can you infer the vital_status?",51,False
365,TCGA-AN-A0XS,"From the slide, can you infer the survival time?",11,False
366,TCGA-E9-A2JS,what type of tumor was identified in the breast specimen?,212,True
367,TCGA-E9-A2JS,what is the size of the tumor in the breast?,213,True
368,TCGA-E9-A2JS,what is the histologic score for the tumor?,214,True
369,TCGA-E9-A2JS,was there any evidence of neo-adjuvant treatment?,215,True
370,TCGA-E9-A2JS,what is the result of histological_type in the slide?,98,False
371,TCGA-E9-A2JS,what is vital_status according to the slide?,43,False
372,TCGA-E9-A2JS,what is the result of survival time in the slide?,19,False
373,TCGA-BH-A0DK,what is the grade of the invasive ductal carcinoma in the patient's breast tissue?,216,True
374,TCGA-BH-A0DK,what is the size of the invasive tumor in the patient's breast tissue?,217,True
375,TCGA-BH-A0DK,what type of changes are observed in the patient's breast tissue?,218,True
376,TCGA-BH-A0DK,is there evidence of lymphovascular invasion in the patient's breast tissue?,219,True
377,TCGA-BH-A0DK,Could you predict histological_type?,177,False
378,TCGA-BH-A0DK,Can you help the pathologist to predict progesterone_receptor?,67,False
379,TCGA-BH-A0DK,"From the slide, can you infer the her2?",143,False
380,TCGA-BH-A0DK,"From the slide, can you infer the vital_status?",51,False
381,TCGA-BH-A0DK,Can you help the pathologist to predict survival time?,78,False
382,TCGA-C8-A8HR,what is the patient's age?,220,True
383,TCGA-C8-A8HR,what type of consent did the patient provide?,221,True
384,TCGA-C8-A8HR,what is the staging of the tumor?,222,True
385,TCGA-C8-A8HR,what does the pathological description indicate about the tumor?,223,True
386,TCGA-C8-A8HR,who signed the slide?,224,True
387,TCGA-C8-A8HR,please predict histological_type?,36,False
388,TCGA-C8-A8HR,what is the result of vital_status in the slide?,10,False
389,TCGA-C8-A8HR,Can you help the pathologist to predict survival time?,78,False
390,TCGA-E9-A22H,what was the size of the tumor in the patient's breast?,225,True
391,TCGA-E9-A22H,what type of breast cancer was identified in the patient?,226,True
392,TCGA-E9-A22H,was the nottingham histologic score determined for the patient?,227,True
393,TCGA-E9-A22H,did the patient receive neo-adjuvant treatment?,228,True
394,TCGA-E9-A22H,were there any additional pathologic findings slideed apart from breast cancer?,229,True
395,TCGA-E9-A22H,please predict histological_type?,36,False
396,TCGA-E9-A22H,what is the result of progesterone_receptor in the slide?,8,False
