原始标签列名,标签中文名,字段名,标签分组,核心基因数,核心推荐基因标签,从153候选库中删除的基因数,删除的非核心候选基因,生物学先验依据
坏死二值（necrosis_binary）,坏死二值,necrosis_binary,形态学-坏死/缺氧,7,"HIF1A,CA9,MKI67,TOP2A,BIRC5,CCNB1,CDK1",11,"HIF3A,LDHA,SLC2A1,BNIP3,NDRG1,ADM,DDIT4,ENO1,PGK1,BCL2L11,CCNB2",坏死/粉刺样坏死与缺氧、增殖压力和HER2/细胞周期通路相关。
粉刺样坏死二值（comedonecrosis_binary）,粉刺样坏死二值,comedonecrosis_binary,形态学-坏死/高级别DCIS,11,"HIF1A,CA9,ERBB2,GRB7,MKI67,TOP2A,BIRC5,CCNB1,CDK1,AURKA,TP53",15,"HIF3A,LDHA,SLC2A1,BNIP3,NDRG1,ADM,DDIT4,ENO1,PGK1,BCL2L11,PGAP3,STARD3,PSMD3,CCNB2,AURKB",坏死/粉刺样坏死与缺氧、增殖压力和HER2/细胞周期通路相关。
微钙化二值（microcalcification_binary）,微钙化二值,microcalcification_binary,形态学-微钙化,7,"SPP1,RUNX2,ALPL,MGP,BMP2,COL1A1,COL3A1",8,"BMP4,BMP7,S100A7,ANXA2,ENPP1,IBSP,BGLAP,FN1",微钙化与骨化/矿化、基质和胶原相关基因有关。
间质淋巴细胞提及（stroma_lymphocytes_binary）,间质淋巴细胞提及,stroma_lymphocytes_binary,TME/免疫浸润,11,"PTPRC,CD3D,CD3E,CD8A,MS4A1,CXCL9,CXCL10,PDCD1,CTLA4,FOXP3,CD68",11,"CD3G,CD8B,CD4,CD79A,NKG7,GNLY,GZMB,PRF1,CCL5,LAG3,TIGIT",间质淋巴细胞反映免疫浸润，选择泛白细胞、T/B细胞、巨噬细胞和免疫检查点基因。
Nottingham总分（nottingham_total_score）,Nottingham总分,nottingham_total_score,形态学-Nottingham评分,19,"MKI67,TOP2A,BIRC5,CCNB1,CDK1,AURKA,PCNA,EPCAM,KRT8,KRT18,KRT19,MUC1,CDH1,CLDN7,TP53,CCNE1,ESR1,PGR,ERBB2",19,"CCNB2,AURKB,PLK1,CDC20,UBE2C,MCM2,MCM4,MCM6,MYBL2,KRT7,CLDN3,CLDN4,BRCA1,BRCA2,CHEK1,CHEK2,ATM,ATR,MYC",分级/Nottingham评分与增殖、细胞周期、核异型性和上皮分化相关。
腺管形成评分（tubule_score）,腺管形成评分,tubule_score,形态学-腺管形成,12,"EPCAM,KRT8,KRT18,KRT19,MUC1,CDH1,CLDN7,ESR1,PGR,FOXA1,GATA3,BCL2",11,"KRT7,CLDN3,CLDN4,XBP1,TFF1,TFF3,GREB1,AGR3,CA12,SCUBE2,CCND1",分级/Nottingham评分与增殖、细胞周期、核异型性和上皮分化相关。
核多形性评分（nuclear_pleomorphism_score）,核多形性评分,nuclear_pleomorphism_score,形态学-核异型,9,"TP53,CCNE1,AURKA,MKI67,TOP2A,BIRC5,CCNB1,CDK1,ERBB2",9,"BRCA1,BRCA2,CHEK1,CHEK2,ATM,ATR,MYC,CCNB2,AURKB",分级/Nottingham评分与增殖、细胞周期、核异型性和上皮分化相关。
有丝分裂评分（mitotic_score）,有丝分裂评分,mitotic_score,形态学-有丝分裂,7,"MKI67,TOP2A,BIRC5,CCNB1,CDK1,AURKA,PCNA",9,"CCNB2,AURKB,PLK1,CDC20,UBE2C,MCM2,MCM4,MCM6,MYBL2",分级/Nottingham评分与增殖、细胞周期、核异型性和上皮分化相关。
ER状态标签（ER_status_label）,ER状态标签,ER_status_label,IHC/分子表型-ER,5,"ESR1,PGR,FOXA1,GATA3,BCL2",8,"XBP1,TFF1,TFF3,GREB1,AGR3,CA12,SCUBE2,CCND1",受体/IHC相关表型，优先选择ER/PR/HER2轴、增殖和乳腺癌分型核心基因。
ER阳性二值（ER_positive_binary）,ER阳性二值,ER_positive_binary,IHC/分子表型-ER,5,"ESR1,PGR,FOXA1,GATA3,BCL2",8,"XBP1,TFF1,TFF3,GREB1,AGR3,CA12,SCUBE2,CCND1",受体/IHC相关表型，优先选择ER/PR/HER2轴、增殖和乳腺癌分型核心基因。
ER百分比（ER_percent）,ER百分比,ER_percent,IHC/分子表型-ER,5,"ESR1,PGR,FOXA1,GATA3,BCL2",8,"XBP1,TFF1,TFF3,GREB1,AGR3,CA12,SCUBE2,CCND1",受体/IHC相关表型，优先选择ER/PR/HER2轴、增殖和乳腺癌分型核心基因。
PR状态标签（PR_status_label）,PR状态标签,PR_status_label,IHC/分子表型-PR,5,"PGR,ESR1,FOXA1,GATA3,BCL2",5,"GREB1,TFF1,TFF3,CCND1,XBP1",受体/IHC相关表型，优先选择ER/PR/HER2轴、增殖和乳腺癌分型核心基因。
PR阳性二值（PR_positive_binary）,PR阳性二值,PR_positive_binary,IHC/分子表型-PR,5,"PGR,ESR1,FOXA1,GATA3,BCL2",5,"GREB1,TFF1,TFF3,CCND1,XBP1",受体/IHC相关表型，优先选择ER/PR/HER2轴、增殖和乳腺癌分型核心基因。
PR百分比（PR_percent）,PR百分比,PR_percent,IHC/分子表型-PR,5,"PGR,ESR1,FOXA1,GATA3,BCL2",5,"GREB1,TFF1,TFF3,CCND1,XBP1",受体/IHC相关表型，优先选择ER/PR/HER2轴、增殖和乳腺癌分型核心基因。
HER2状态标签（HER2_status_label）,HER2状态标签,HER2_status_label,IHC/分子表型-HER2,7,"ERBB2,GRB7,TOP2A,CCNE1,MKI67,EGFR,BIRC5",3,"PGAP3,STARD3,PSMD3",受体/IHC相关表型，优先选择ER/PR/HER2轴、增殖和乳腺癌分型核心基因。
HER2阳性二值（HER2_positive_binary）,HER2阳性二值,HER2_positive_binary,IHC/分子表型-HER2,7,"ERBB2,GRB7,TOP2A,CCNE1,MKI67,EGFR,BIRC5",3,"PGAP3,STARD3,PSMD3",受体/IHC相关表型，优先选择ER/PR/HER2轴、增殖和乳腺癌分型核心基因。
HER2 IHC评分（HER2_ihc_score）,HER2 IHC评分,HER2_ihc_score,IHC/分子表型-HER2,7,"ERBB2,GRB7,TOP2A,CCNE1,MKI67,EGFR,BIRC5",3,"PGAP3,STARD3,PSMD3",受体/IHC相关表型，优先选择ER/PR/HER2轴、增殖和乳腺癌分型核心基因。
HER2扩增标签（HER2_amplification_label）,HER2扩增标签,HER2_amplification_label,IHC/分子表型-HER2,7,"ERBB2,GRB7,TOP2A,CCNE1,MKI67,EGFR,BIRC5",3,"PGAP3,STARD3,PSMD3",受体/IHC相关表型，优先选择ER/PR/HER2轴、增殖和乳腺癌分型核心基因。
激素受体组合（hormone_receptor_combo）,激素受体组合,hormone_receptor_combo,IHC/分子亚型,13,"ESR1,PGR,ERBB2,FOXA1,GATA3,BCL2,GRB7,KRT5,KRT14,KRT17,EGFR,TP63,MKI67",7,"XBP1,TFF1,TFF3,PGAP3,STARD3,PSMD3,KRT6A",受体/IHC相关表型，优先选择ER/PR/HER2轴、增殖和乳腺癌分型核心基因。
Ki67百分比（Ki67_percent）,Ki67百分比,Ki67_percent,IHC/分子表型-Ki67,7,"MKI67,TOP2A,BIRC5,CCNB1,CDK1,AURKA,PCNA",9,"CCNB2,AURKB,PLK1,CDC20,UBE2C,MCM2,MCM4,MCM6,MYBL2",受体/IHC相关表型，优先选择ER/PR/HER2轴、增殖和乳腺癌分型核心基因。
AJCC病理分期（ajcc_pathologic_stage）,AJCC病理分期,ajcc_pathologic_stage,临床弱监督/预后辅助,19,"MKI67,TOP2A,BIRC5,AURKA,ERBB2,GRB7,ESR1,PGR,MMP2,MMP9,VIM,COL1A1,COL3A1,PTPRC,CXCL9,CD8A,CD68,FOXA1,GATA3",5,"MMP14,FN1,TGFBI,TGFB1,LOX",临床弱监督/预后表型，选择增殖、HER2/luminal、侵袭、免疫和缺氧相关核心基因。
生存状态（vital_status）,生存状态,vital_status,预后/生存,27,"MKI67,TOP2A,BIRC5,AURKA,ERBB2,GRB7,ESR1,PGR,FOXA1,GATA3,TP53,MMP9,MMP11,VIM,COL1A1,CD274,PDCD1,CTLA4,CXCL9,PTPRC,CD68,CCNB1,CDK1,CD3D,CD3E,CD8A,MS4A1",15,"FN1,TGFBI,TGFB1,BAG1,GSTM1,SCUBE2,CCNB2,AURKB,CD3G,CD8B,CD4,CD79A,NKG7,GNLY,GZMB",临床弱监督/预后表型，选择增殖、HER2/luminal、侵袭、免疫和缺氧相关核心基因。
肿瘤状态（tumor_status）,肿瘤状态,tumor_status,预后/生存,27,"MKI67,TOP2A,BIRC5,AURKA,ERBB2,GRB7,ESR1,PGR,FOXA1,GATA3,TP53,MMP9,MMP11,VIM,COL1A1,CD274,PDCD1,CTLA4,CXCL9,PTPRC,CD68,CCNB1,CDK1,CD3D,CD3E,CD8A,MS4A1",15,"FN1,TGFBI,TGFB1,BAG1,GSTM1,SCUBE2,CCNB2,AURKB,CD3G,CD8B,CD4,CD79A,NKG7,GNLY,GZMB",临床弱监督/预后表型，选择增殖、HER2/luminal、侵袭、免疫和缺氧相关核心基因。
OS结局（OS）,OS结局,OS,预后/生存,27,"MKI67,TOP2A,BIRC5,AURKA,ERBB2,GRB7,ESR1,PGR,FOXA1,GATA3,TP53,MMP9,MMP11,VIM,COL1A1,CD274,PDCD1,CTLA4,CXCL9,PTPRC,CD68,CCNB1,CDK1,CD3D,CD3E,CD8A,MS4A1",15,"FN1,TGFBI,TGFB1,BAG1,GSTM1,SCUBE2,CCNB2,AURKB,CD3G,CD8B,CD4,CD79A,NKG7,GNLY,GZMB",临床弱监督/预后表型，选择增殖、HER2/luminal、侵袭、免疫和缺氧相关核心基因。
OS时间天（OS_time）,OS时间天,OS_time,预后/生存,27,"MKI67,TOP2A,BIRC5,AURKA,ERBB2,GRB7,ESR1,PGR,FOXA1,GATA3,TP53,MMP9,MMP11,VIM,COL1A1,CD274,PDCD1,CTLA4,CXCL9,PTPRC,CD68,CCNB1,CDK1,CD3D,CD3E,CD8A,MS4A1",15,"FN1,TGFBI,TGFB1,BAG1,GSTM1,SCUBE2,CCNB2,AURKB,CD3G,CD8B,CD4,CD79A,NKG7,GNLY,GZMB",临床弱监督/预后表型，选择增殖、HER2/luminal、侵袭、免疫和缺氧相关核心基因。
DSS结局（DSS）,DSS结局,DSS,预后/生存,27,"MKI67,TOP2A,BIRC5,AURKA,ERBB2,GRB7,ESR1,PGR,FOXA1,GATA3,TP53,MMP9,MMP11,VIM,COL1A1,CD274,PDCD1,CTLA4,CXCL9,PTPRC,CD68,CCNB1,CDK1,CD3D,CD3E,CD8A,MS4A1",15,"FN1,TGFBI,TGFB1,BAG1,GSTM1,SCUBE2,CCNB2,AURKB,CD3G,CD8B,CD4,CD79A,NKG7,GNLY,GZMB",临床弱监督/预后表型，选择增殖、HER2/luminal、侵袭、免疫和缺氧相关核心基因。
DSS时间天（DSS_time）,DSS时间天,DSS_time,预后/生存,27,"MKI67,TOP2A,BIRC5,AURKA,ERBB2,GRB7,ESR1,PGR,FOXA1,GATA3,TP53,MMP9,MMP11,VIM,COL1A1,CD274,PDCD1,CTLA4,CXCL9,PTPRC,CD68,CCNB1,CDK1,CD3D,CD3E,CD8A,MS4A1",15,"FN1,TGFBI,TGFB1,BAG1,GSTM1,SCUBE2,CCNB2,AURKB,CD3G,CD8B,CD4,CD79A,NKG7,GNLY,GZMB",临床弱监督/预后表型，选择增殖、HER2/luminal、侵袭、免疫和缺氧相关核心基因。
DFI结局（DFI）,DFI结局,DFI,预后/生存,27,"MKI67,TOP2A,BIRC5,AURKA,ERBB2,GRB7,ESR1,PGR,FOXA1,GATA3,TP53,MMP9,MMP11,VIM,COL1A1,CD274,PDCD1,CTLA4,CXCL9,PTPRC,CD68,CCNB1,CDK1,CD3D,CD3E,CD8A,MS4A1",15,"FN1,TGFBI,TGFB1,BAG1,GSTM1,SCUBE2,CCNB2,AURKB,CD3G,CD8B,CD4,CD79A,NKG7,GNLY,GZMB",临床弱监督/预后表型，选择增殖、HER2/luminal、侵袭、免疫和缺氧相关核心基因。
DFI时间天（DFI_time）,DFI时间天,DFI_time,预后/生存,27,"MKI67,TOP2A,BIRC5,AURKA,ERBB2,GRB7,ESR1,PGR,FOXA1,GATA3,TP53,MMP9,MMP11,VIM,COL1A1,CD274,PDCD1,CTLA4,CXCL9,PTPRC,CD68,CCNB1,CDK1,CD3D,CD3E,CD8A,MS4A1",15,"FN1,TGFBI,TGFB1,BAG1,GSTM1,SCUBE2,CCNB2,AURKB,CD3G,CD8B,CD4,CD79A,NKG7,GNLY,GZMB",临床弱监督/预后表型，选择增殖、HER2/luminal、侵袭、免疫和缺氧相关核心基因。
PFI结局（PFI）,PFI结局,PFI,预后/生存,27,"MKI67,TOP2A,BIRC5,AURKA,ERBB2,GRB7,ESR1,PGR,FOXA1,GATA3,TP53,MMP9,MMP11,VIM,COL1A1,CD274,PDCD1,CTLA4,CXCL9,PTPRC,CD68,CCNB1,CDK1,CD3D,CD3E,CD8A,MS4A1",15,"FN1,TGFBI,TGFB1,BAG1,GSTM1,SCUBE2,CCNB2,AURKB,CD3G,CD8B,CD4,CD79A,NKG7,GNLY,GZMB",临床弱监督/预后表型，选择增殖、HER2/luminal、侵袭、免疫和缺氧相关核心基因。
PFI时间天（PFI_time）,PFI时间天,PFI_time,预后/生存,27,"MKI67,TOP2A,BIRC5,AURKA,ERBB2,GRB7,ESR1,PGR,FOXA1,GATA3,TP53,MMP9,MMP11,VIM,COL1A1,CD274,PDCD1,CTLA4,CXCL9,PTPRC,CD68,CCNB1,CDK1,CD3D,CD3E,CD8A,MS4A1",15,"FN1,TGFBI,TGFB1,BAG1,GSTM1,SCUBE2,CCNB2,AURKB,CD3G,CD8B,CD4,CD79A,NKG7,GNLY,GZMB",临床弱监督/预后表型，选择增殖、HER2/luminal、侵袭、免疫和缺氧相关核心基因。
