case_id,question,group_id,scale,slide_id,patch_index,x,y,size,question_similarity,image_path
TCGA-BH-A0DG,what type of breast tissue is present besides the tumor?,2,1024,TCGA-BH-A0DG-01Z-00-DX1.D3C4F57F-608F-46AA-A978-B558117C9DFB_0_1024,684,30752,11392,1024,0.11571488529443741,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-BH-A0DG/663c4e7cc4/group2_1024_30752_11392.jpg
TCGA-BH-A0DG,what type of breast tissue is present besides the tumor?,3,1024,TCGA-BH-A0DG-01Z-00-DX1.D3C4F57F-608F-46AA-A978-B558117C9DFB_0_1024,3823,82976,21632,1024,0.11492529511451721,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-BH-A0DG/663c4e7cc4/group3_1024_82976_21632.jpg
TCGA-BH-A0DG,what type of breast tissue is present besides the tumor?,4,2048,TCGA-BH-A0DG-01Z-00-DX1.D3C4F57F-608F-46AA-A978-B558117C9DFB_0_2048,259,35872,12416,2048,0.09946602582931519,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-BH-A0DG/663c4e7cc4/group4_2048_35872_12416.jpg
TCGA-BH-A0DD,what is the receptor status mentioned in the slide?,1,4096,TCGA-BH-A0DD-01Z-00-DX1.2242DD1F-0B7C-4B43-A7A9-8130D2BDEE78_0_4096,110,57825,28001,4096,0.09220977872610092,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-BH-A0DD/0933d6b3cd/group1_4096_57825_28001.jpg
TCGA-BH-A0DD,what is the receptor status mentioned in the slide?,1,2048,TCGA-BH-A0DD-01Z-00-DX1.2242DD1F-0B7C-4B43-A7A9-8130D2BDEE78_0_2048,402,57825,30049,2048,0.09922870993614197,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-BH-A0DD/0933d6b3cd/group1_2048_57825_30049.jpg
TCGA-BH-A0DD,what is the receptor status mentioned in the slide?,2,1024,TCGA-BH-A0DD-01Z-00-DX1.2242DD1F-0B7C-4B43-A7A9-8130D2BDEE78_0_1024,1345,53729,30049,1024,0.1158757284283638,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-BH-A0DD/0933d6b3cd/group2_1024_53729_30049.jpg
TCGA-BH-A0DD,what is the receptor status mentioned in the slide?,3,1024,TCGA-BH-A0DD-01Z-00-DX1.2242DD1F-0B7C-4B43-A7A9-8130D2BDEE78_0_1024,26,11745,54625,1024,0.11277782171964645,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-BH-A0DD/0933d6b3cd/group3_1024_11745_54625.jpg
TCGA-BH-A0DD,what is the receptor status mentioned in the slide?,4,2048,TCGA-BH-A0DD-01Z-00-DX1.2242DD1F-0B7C-4B43-A7A9-8130D2BDEE78_0_2048,145,35297,30049,2048,0.10804441571235657,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-BH-A0DD/0933d6b3cd/group4_2048_35297_30049.jpg
TCGA-B6-A0IA,what other changes were found in the patient's breast?,1,2048,TCGA-B6-A0IA-01Z-00-DX1.8A868F0A-6CE2-46A7-AF0C-C5FC5D657D86_0_2048,22,16098,30144,2048,0.10694247484207153,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-B6-A0IA/24a068c359/group1_2048_16098_30144.jpg
TCGA-B6-A0IA,what other changes were found in the patient's breast?,1,1024,TCGA-B6-A0IA-01Z-00-DX1.8A868F0A-6CE2-46A7-AF0C-C5FC5D657D86_0_1024,95,17122,30144,1024,0.11407577991485596,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-B6-A0IA/24a068c359/group1_1024_17122_30144.jpg
TCGA-B6-A0IA,what other changes were found in the patient's breast?,2,1024,TCGA-B6-A0IA-01Z-00-DX1.8A868F0A-6CE2-46A7-AF0C-C5FC5D657D86_0_1024,548,31458,45504,1024,0.11536029726266861,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-B6-A0IA/24a068c359/group2_1024_31458_45504.jpg
TCGA-B6-A0IA,what other changes were found in the patient's breast?,3,1024,TCGA-B6-A0IA-01Z-00-DX1.8A868F0A-6CE2-46A7-AF0C-C5FC5D657D86_0_1024,38,14050,37312,1024,0.1128242164850235,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-B6-A0IA/24a068c359/group3_1024_14050_37312.jpg
TCGA-B6-A0IA,what other changes were found in the patient's breast?,4,2048,TCGA-B6-A0IA-01Z-00-DX1.8A868F0A-6CE2-46A7-AF0C-C5FC5D657D86_0_2048,1508,122594,28096,2048,0.11051063984632492,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-B6-A0IA/24a068c359/group4_2048_122594_28096.jpg
TCGA-LL-A442,is there any invasive tumor seen at the surgical margins?,1,4096,TCGA-LL-A442-01Z-00-DX1.9275EDBD-1C89-4AF3-B02B-19F613A4E083_0_4096,18,16384,0,4096,0.006883412599563599,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-LL-A442/ffb277372d/group1_4096_16384_0.jpg
TCGA-LL-A442,is there any invasive tumor seen at the surgical margins?,1,1024,TCGA-LL-A442-01Z-00-DX1.9275EDBD-1C89-4AF3-B02B-19F613A4E083_0_1024,242,16384,0,1024,0.02614433877170086,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-LL-A442/ffb277372d/group1_1024_16384_0.jpg
TCGA-LL-A442,is there any invasive tumor seen at the surgical margins?,2,1024,TCGA-LL-A442-01Z-00-DX1.9275EDBD-1C89-4AF3-B02B-19F613A4E083_0_1024,1779,50176,4096,1024,0.03472327068448067,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-LL-A442/ffb277372d/group2_1024_50176_4096.jpg
TCGA-LL-A442,is there any invasive tumor seen at the surgical margins?,3,4096,TCGA-LL-A442-01Z-00-DX1.9275EDBD-1C89-4AF3-B02B-19F613A4E083_0_4096,94,40960,0,4096,0.030670925974845886,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-LL-A442/ffb277372d/group3_4096_40960_0.jpg
TCGA-LL-A442,is there any invasive tumor seen at the surgical margins?,4,1024,TCGA-LL-A442-01Z-00-DX1.9275EDBD-1C89-4AF3-B02B-19F613A4E083_0_1024,4603,94208,45056,1024,0.02706863358616829,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-LL-A442/ffb277372d/group4_1024_94208_45056.jpg
TCGA-B6-A0WV,is there any residual carcinoma in the mastectomy specimen?,1,4096,TCGA-B6-A0WV-01Z-00-DX1.A8B9E114-A8CF-4389-B47C-2E1B842F7FF9_0_4096,155,66272,60544,4096,0.05936121195554733,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-B6-A0WV/ef1d8de201/group1_4096_66272_60544.jpg
TCGA-B6-A0WV,is there any residual carcinoma in the mastectomy specimen?,2,4096,TCGA-B6-A0WV-01Z-00-DX1.A8B9E114-A8CF-4389-B47C-2E1B842F7FF9_0_4096,199,82656,15488,4096,0.059066012501716614,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-B6-A0WV/ef1d8de201/group2_4096_82656_15488.jpg
TCGA-B6-A0WV,is there any residual carcinoma in the mastectomy specimen?,3,1024,TCGA-B6-A0WV-01Z-00-DX1.A8B9E114-A8CF-4389-B47C-2E1B842F7FF9_0_1024,2295,70368,65664,1024,0.05899873003363609,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-B6-A0WV/ef1d8de201/group3_1024_70368_65664.jpg
TCGA-B6-A0WV,is there any residual carcinoma in the mastectomy specimen?,4,1024,TCGA-B6-A0WV-01Z-00-DX1.A8B9E114-A8CF-4389-B47C-2E1B842F7FF9_0_1024,2503,74464,59520,1024,0.0574440136551857,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-B6-A0WV/ef1d8de201/group4_1024_74464_59520.jpg
TCGA-A8-A08Z,what is the level of angioinvasion in the tumor?,1,4096,TCGA-A8-A08Z-01Z-00-DX1.D0AADCA6-C27C-4FB8-89C1-94B5901146E7_0_4096,174,30624,71680,2048,0.05697612464427948,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-A8-A08Z/0f1568cdda/group1_4096_30624_71680.jpg
TCGA-A8-A08Z,what is the level of angioinvasion in the tumor?,1,2048,TCGA-A8-A08Z-01Z-00-DX1.D0AADCA6-C27C-4FB8-89C1-94B5901146E7_0_2048,680,31648,71680,1024,0.0645093321800232,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-A8-A08Z/0f1568cdda/group1_2048_31648_71680.jpg
TCGA-A8-A08Z,what is the level of angioinvasion in the tumor?,1,1024,TCGA-A8-A08Z-01Z-00-DX1.D0AADCA6-C27C-4FB8-89C1-94B5901146E7_0_1024,2686,32160,71680,512,0.09317456185817719,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-A8-A08Z/0f1568cdda/group1_1024_32160_71680.jpg
TCGA-A8-A08Z,what is the level of angioinvasion in the tumor?,2,4096,TCGA-A8-A08Z-01Z-00-DX1.D0AADCA6-C27C-4FB8-89C1-94B5901146E7_0_4096,222,34720,90112,2048,0.05389060825109482,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-A8-A08Z/0f1568cdda/group2_4096_34720_90112.jpg
TCGA-A8-A08Z,what is the level of angioinvasion in the tumor?,2,2048,TCGA-A8-A08Z-01Z-00-DX1.D0AADCA6-C27C-4FB8-89C1-94B5901146E7_0_2048,846,35744,90112,1024,0.06763958185911179,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-A8-A08Z/0f1568cdda/group2_2048_35744_90112.jpg
TCGA-A8-A08Z,what is the level of angioinvasion in the tumor?,3,1024,TCGA-A8-A08Z-01Z-00-DX1.D0AADCA6-C27C-4FB8-89C1-94B5901146E7_0_1024,200,12192,56320,512,0.08471393585205078,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-A8-A08Z/0f1568cdda/group3_1024_12192_56320.jpg
TCGA-A8-A08Z,what is the level of angioinvasion in the tumor?,4,1024,TCGA-A8-A08Z-01A-02-BS2.5d948ef0-cfa3-40bd-a383-ba99e6b28378_0_1024,603,61716,27376,1024,0.07560963928699493,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-A8-A08Z/0f1568cdda/group4_1024_61716_27376.jpg
TCGA-D8-A1JL,what type of lesion was found in the glandular tissue surrounding the tumor?,1,4096,TCGA-D8-A1JL-01Z-00-DX1.FE3F0C6B-F98A-4036-BF9A-25A8CC66B1FD_0_4096,5,151094,92948,4096,0.04090597853064537,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-D8-A1JL/ccb561b458/group1_4096_151094_92948.jpg
TCGA-D8-A1JL,what type of lesion was found in the glandular tissue surrounding the tumor?,1,2048,TCGA-D8-A1JL-01Z-00-DX1.FE3F0C6B-F98A-4036-BF9A-25A8CC66B1FD_0_2048,9,153142,94996,2048,0.05424146726727486,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-D8-A1JL/ccb561b458/group1_2048_153142_94996.jpg
TCGA-D8-A1JL,what type of lesion was found in the glandular tissue surrounding the tumor?,2,1024,TCGA-D8-A1JL-01Z-00-DX1.FE3F0C6B-F98A-4036-BF9A-25A8CC66B1FD_0_1024,5277,36384,56320,1024,0.06199590861797333,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-D8-A1JL/ccb561b458/group2_1024_36384_56320.jpg
TCGA-D8-A1JL,what type of lesion was found in the glandular tissue surrounding the tumor?,3,1024,TCGA-D8-A1JL-01Z-00-DX1.FE3F0C6B-F98A-4036-BF9A-25A8CC66B1FD_0_1024,48,4464,92980,1024,0.05950174108147621,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-D8-A1JL/ccb561b458/group3_1024_4464_92980.jpg
TCGA-D8-A1JL,what type of lesion was found in the glandular tissue surrounding the tumor?,4,2048,TCGA-D8-A1JL-01Z-00-DX1.FE3F0C6B-F98A-4036-BF9A-25A8CC66B1FD_0_2048,7,151094,94996,2048,0.04230951890349388,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-D8-A1JL/ccb561b458/group4_2048_151094_94996.jpg
TCGA-B6-A0RO,what non-neoplastic changes were observed in the breast tissue?,1,4096,TCGA-B6-A0RO-01Z-00-DX1.3ADBFF05-92CE-41B5-BD49-CB3CE5B74CC9_0_4096,96,35520,2096,4096,0.11250653862953186,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-B6-A0RO/f1d62a9d83/group1_4096_35520_2096.jpg
TCGA-B6-A0RO,what non-neoplastic changes were observed in the breast tissue?,1,2048,TCGA-B6-A0RO-01Z-00-DX1.3ADBFF05-92CE-41B5-BD49-CB3CE5B74CC9_0_2048,362,35520,4144,2048,0.11715970188379288,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-B6-A0RO/f1d62a9d83/group1_2048_35520_4144.jpg
TCGA-B6-A0RO,what non-neoplastic changes were observed in the breast tissue?,2,1024,TCGA-B6-A0RO-01Z-00-DX1.3ADBFF05-92CE-41B5-BD49-CB3CE5B74CC9_0_1024,381,20160,79920,1024,0.13300326466560364,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-B6-A0RO/f1d62a9d83/group2_1024_20160_79920.jpg
TCGA-B6-A0RO,what non-neoplastic changes were observed in the breast tissue?,3,1024,TCGA-B6-A0RO-01Z-00-DX1.3ADBFF05-92CE-41B5-BD49-CB3CE5B74CC9_0_1024,317,19136,79920,1024,0.13223254680633545,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-B6-A0RO/f1d62a9d83/group3_1024_19136_79920.jpg
TCGA-B6-A0RO,what non-neoplastic changes were observed in the breast tissue?,4,2048,TCGA-B6-A0RO-01Z-00-DX1.3ADBFF05-92CE-41B5-BD49-CB3CE5B74CC9_0_2048,18,10944,75824,2048,0.12427128106355667,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-B6-A0RO/f1d62a9d83/group4_2048_10944_75824.jpg
TCGA-OL-A5RX,what type of changes were found in the breast tissue of the patient?,1,4096,TCGA-OL-A5RX-01Z-00-DX1.15A0D4F4-2744-4D44-8883-27FF83D9C824_0_4096,2,4944,288,4096,0.03794790431857109,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-OL-A5RX/7696096d34/group1_4096_4944_288.jpg
TCGA-OL-A5RX,what type of changes were found in the breast tissue of the patient?,1,2048,TCGA-OL-A5RX-01Z-00-DX1.15A0D4F4-2744-4D44-8883-27FF83D9C824_0_2048,8,4944,288,2048,0.05767001956701279,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-OL-A5RX/7696096d34/group1_2048_4944_288.jpg
TCGA-OL-A5RX,what type of changes were found in the breast tissue of the patient?,1,1024,TCGA-OL-A5RX-01Z-00-DX1.15A0D4F4-2744-4D44-8883-27FF83D9C824_0_1024,27,4944,288,1024,0.06792150437831879,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-OL-A5RX/7696096d34/group1_1024_4944_288.jpg
TCGA-OL-A5RX,what type of changes were found in the breast tissue of the patient?,2,2048,TCGA-OL-A5RX-01A-01-TSA.A2D25C2C-D7C5-4D31-8663-3345DB03780A_0_2048,3,88590,23853,2048,0.062193624675273895,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-OL-A5RX/7696096d34/group2_2048_88590_23853.jpg
TCGA-OL-A5RX,what type of changes were found in the breast tissue of the patient?,2,1024,TCGA-OL-A5RX-01A-01-TSA.A2D25C2C-D7C5-4D31-8663-3345DB03780A_0_1024,14,88590,24877,1024,0.09302759170532227,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-OL-A5RX/7696096d34/group2_1024_88590_24877.jpg
TCGA-OL-A5RX,what type of changes were found in the breast tissue of the patient?,3,4096,TCGA-OL-A5RX-01A-01-TSA.A2D25C2C-D7C5-4D31-8663-3345DB03780A_0_4096,24,24288,15972,4096,0.05363054573535919,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-OL-A5RX/7696096d34/group3_4096_24288_15972.jpg
TCGA-OL-A5RX,what type of changes were found in the breast tissue of the patient?,3,2048,TCGA-OL-A5RX-01A-01-TSA.A2D25C2C-D7C5-4D31-8663-3345DB03780A_0_2048,77,24288,15972,2048,0.05438781529664993,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-OL-A5RX/7696096d34/group3_2048_24288_15972.jpg
TCGA-OL-A5RX,what type of changes were found in the breast tissue of the patient?,4,4096,TCGA-OL-A5RX-01Z-00-DX1.15A0D4F4-2744-4D44-8883-27FF83D9C824_0_4096,0,848,4384,4096,0.03265637904405594,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-OL-A5RX/7696096d34/group4_4096_848_4384.jpg
TCGA-OL-A5RX,what type of changes were found in the breast tissue of the patient?,4,2048,TCGA-OL-A5RX-01Z-00-DX1.15A0D4F4-2744-4D44-8883-27FF83D9C824_0_2048,4,2896,4384,2048,0.05012920871376991,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-OL-A5RX/7696096d34/group4_2048_2896_4384.jpg
TCGA-A2-A25A,what type of hyperplasia was observed in the breast?,1,4096,TCGA-A2-A25A-01Z-00-DX1.6D311E39-9F96-4775-B9DA-8D034D1AD1DC_0_4096,20,12992,6432,4096,0.0846199318766594,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-A2-A25A/aec7d7e56f/group1_4096_12992_6432.jpg
TCGA-A2-A25A,what type of hyperplasia was observed in the breast?,1,2048,TCGA-A2-A25A-01Z-00-DX1.6D311E39-9F96-4775-B9DA-8D034D1AD1DC_0_2048,103,15040,8480,2048,0.08425040543079376,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-A2-A25A/aec7d7e56f/group1_2048_15040_8480.jpg
TCGA-A2-A25A,what type of hyperplasia was observed in the breast?,1,1024,TCGA-A2-A25A-01Z-00-DX1.6D311E39-9F96-4775-B9DA-8D034D1AD1DC_0_1024,451,16064,8480,1024,0.1167716309428215,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-A2-A25A/aec7d7e56f/group1_1024_16064_8480.jpg
TCGA-A2-A25A,what type of hyperplasia was observed in the breast?,2,1024,TCGA-A2-A25A-01Z-00-DX1.6D311E39-9F96-4775-B9DA-8D034D1AD1DC_0_1024,31,5824,46368,1024,0.10612792521715164,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-A2-A25A/aec7d7e56f/group2_1024_5824_46368.jpg
TCGA-A2-A25A,what type of hyperplasia was observed in the breast?,3,2048,TCGA-A2-A25A-01Z-00-DX1.6D311E39-9F96-4775-B9DA-8D034D1AD1DC_0_2048,159,17088,65824,2048,0.10307502746582031,/home/wl/agent_2026/g2p_toolbank_brca/outputs/multiscale_vqa_agent/evidence_patches/TCGA-A2-A25A/aec7d7e56f/group3_2048_17088_65824.jpg
