case_id,question,choices,route,task_match,selected_prototype_ids,target_phenotypes,phenotype_relevance_score,reason,use_pathology_agent
TCGA-BH-A0BV,what is the pathological stage of the breast cancer?,"[""t1 n0 m0"", ""t2 n1 mx"", ""t3 n2 m1"", ""t4 n3 m2""]",nonvisual,none,[],[],0.0,"Pathological stage (TNM classification) is a clinical synthesis of tumor size, nodal status, and metastasis derived from surgical pathology reports and imaging, not a feature directly visible or predictable from H&E morphology alone.",False
TCGA-BH-A202,what was the size of the primary invasive carcinoma?,"[""2.8 cm"", ""4 mm"", ""0.4 cm"", ""3 mm""]",nonvisual,none,[],[],0.0,"The question asks for the exact macroscopic size of the primary tumor, which is a clinical measurement documented in the pathology report or surgical record, not a feature visible or predictable from H&E morphology or WSI-derived phenotype prototypes.",False
TCGA-BH-A202,what was the score for estrogen receptors?,"[""250"", ""78"", ""positive"", ""negative""]",nonvisual,none,[],[],0.0,"The question asks for a specific numerical score ('250', '78') or a binary status ('positive', 'negative') for Estrogen Receptors, which requires a measured clinical assay (IHC) or report fact, not a WSI-derived morphological prediction.",False
TCGA-BH-A202,what type of carcinoma was found in the breast segmental mastectomy?,"[""invasive ductal carcinoma"", ""papilloma"", ""no special type"", ""fibroadenomatous changes""]",phenotype_direct,direct,"[""P001""]","[""histological_type_label""]",0.95,"The question asks for the specific histological type of carcinoma, which is directly covered by the 'histological_type_label' prototype (P001) that categorizes various carcinoma subtypes.",True
TCGA-BH-A202,was lymphovascular invasion identified?,"[""yes"", ""no"", ""not mentioned"", ""negative""]",phenotype_direct,direct,"[""P007""]","[""lymphovascular_invasion_label""]",1.0,"The question explicitly asks for the status of lymphovascular invasion, which is directly covered by prototype P007 (lymphovascular_invasion_label).",True
TCGA-BH-A202,what was the pathologic stage?,"[""pt4an0mx"", ""negative"", ""positive"", ""in situ component""]",nonvisual,none,[],[],0.0,"Pathologic stage is a clinical classification derived from tumor size, nodal status, and metastasis documented in the pathology report, not a feature directly visible or predictable from H&E morphology alone.",False
TCGA-BH-A202,was there amplification of the her2/neu gene?,"[""no"", ""yes"", ""negative"", ""positive""]",nonvisual,none,[],[],0.0,"The question asks specifically about gene amplification (a molecular assay result), which is distinct from the WSI-derived HER2 status prediction available in the catalog and cannot be determined from H&E morphology.",False
TCGA-AR-A0U3,what type of cancer was found in the breast?,"[""invasive ductal adenocarcinoma"", ""nottingham grade iii"", ""ductal carcinoma in-situ"", ""invasive lobular carcinoma""]",phenotype_direct,direct,"[""P001""]","[""histological_type_label""]",1.0,"The question asks for the specific histological type of breast cancer, which is directly covered by the 'histological_type_label' prototype (P001) that distinguishes between ductal, lobular, and other carcinoma types.",True
TCGA-AR-A0U3,what was the size of the tumor?,"[""2.3 x 2.0 cm"", ""3.5 x 2.0 cm"", ""2.0 x 2.0 cm"", ""2.5 x 3.0 cm""]",nonvisual,none,[],[],0.0,"Tumor size is a macroscopic clinical measurement documented in the pathology report or surgical record, not a feature visible on H&E slides or derivable from WSI morphology prototypes.",False
TCGA-AR-A0U3,what was the stage classification of the tumor?,"[""t0"", ""t1"", ""t2"", ""t3""]",nonvisual,none,[],[],0.0,"Tumor stage (T0-T3) is a clinical/pathological classification based on tumor size, lymph node involvement, and metastasis, which cannot be determined from H&E morphology or WSI-derived phenotype prototypes alone.",False
TCGA-AR-A0U3,how much of the tumor was accounted for by ductal carcinoma in-situ?,"[""5%"", ""15%"", ""10%"", ""20%""]",nonvisual,none,[],[],0.0,"The question asks for a specific quantitative percentage (5%, 15%, 10%, 20%) of the tumor accounted for by DCIS, which is a precise measurement or report-dependent fact not derivable from WSI-derived phenotype prototypes that only indicate presence/absence or categorical types.",False
TCGA-AR-A0U3,what was the result of the estrogen receptor (er) staining?,"[""negative"", ""positive with less than 10% nuclear staining"", ""positive with more than 10% nuclear staining"", ""variable staining""]",nonvisual,none,[],[],0.0,"The question explicitly asks for the result of a specific ER staining assay (IHC), which is a measured clinical fact, not a WSI-derived morphological prediction or a general phenotype label.",False
TCGA-AO-A0JE,what is the grade of the invasive ductal carcinoma?,"[""low grade"", ""intermediate grade"", ""high grade"", ""not mentioned""]",phenotype_direct,direct,"[""P006""]","[""histologic_grade_label""]",1.0,"The question explicitly asks for the histologic grade of the invasive ductal carcinoma, which is directly covered by prototype P006 (histologic_grade_label).",True
TCGA-AO-A0JE,what additional findings are present in the tumor?,"[""no additional findings"", ""calcifications and microvascular invasion"", ""focal atypical ductal hyperplasia"", ""benign changes in the surrounding breast tissue""]",morphology_only,none,[],[],0.0,"The question asks for 'additional findings' which is a generic term covering multiple H&E-visible features (calcifications, invasion, atypia, benign changes) not captured by the specific single-label prototypes provided; therefore, no direct prototype matches the multi-faceted nature of the query.",True
TCGA-AO-A0JE,what is found in the surrounding breast tissue?,"[""benign changes"", ""high-grade ductal carcinoma"", ""ductal carcinoma in situ"", ""extranodal extension""]",morphology_only,none,[],[],0.0,"The question asks for findings in the 'surrounding breast tissue' (background), which is a general morphological context feature not covered by specific diagnostic prototypes like histologic type or receptor status; therefore, it requires direct visual assessment of the H&E slide without a specific catalog ID.",True
TCGA-AO-A0JE,where were receptor studies performed?,"[""on the sentinel lymph nodes"", ""on the right breast mass"", ""on the surrounding breast tissue"", ""on the axillary lymph nodes""]",nonvisual,none,[],[],0.0,"The question asks for the specific anatomical site where receptor studies were performed, which is a procedural or report-dependent fact not derivable from H&E morphology or WSI-derived phenotype predictions.",False
TCGA-A1-A0SF,what is the size of the infiltrating ductal carcinoma in the breast?,"[""1.4 cm"", ""2.4 cm"", ""3.4 cm"", ""4.4 cm""]",nonvisual,none,[],[],0.0,"The question asks for the macroscopic size of the tumor, which is a clinical measurement not derivable from WSI morphology or histologic prototypes.",False
TCGA-A1-A0SF,what is the grade of the invasive tumor in the breast?,"[""grade 1"", ""grade 2"", ""grade 3"", ""grade 4""]",phenotype_direct,direct,"[""P006""]","[""histologic_grade_label""]",1.0,"The question explicitly asks for the histologic grade of the invasive tumor, which is directly covered by prototype P006 (histologic_grade_label).",True
TCGA-A1-A0SF,what is the result of her2/neu testing?,"[""positive"", ""negative"", ""inconclusive"", ""not provided""]",nonvisual,none,[],[],0.0,"The question explicitly asks for the result of a specific molecular assay (HER2/neu testing), which is a measured clinical fact or report finding, not a WSI-derived morphological prediction.",False
TCGA-A1-A0SF,what is the pathological finding in the soft tissue in the breast?,"[""infiltrating ductal carcinoma"", ""benign breast tissue"", ""microcalcifications associated with benign ducts and stroma"", ""non-proliferative fibrocystic change""]",phenotype_direct,direct,"[""P001""]","[""histological_type_label""]",0.95,"The question asks for the specific pathological diagnosis (histological type) of the breast tissue, which directly maps to the 'histological_type_label' prototype (P001) covering carcinoma types and benign states.",True
TCGA-A1-A0SF,what is the pathological finding in the ovary?,"[""benign paratubal cyst"", ""malignant tumor"", ""endometriosis"", ""ovarian cyst""]",nonvisual,none,[],[],0.0,"The question asks for a pathological finding in the ovary with choices including benign paratubal cyst, malignant tumor, endometriosis, and ovarian cyst; none of the provided breast-specific catalog prototypes (P001-P017) cover ovarian pathology, and the task requires knowledge not visible on H&E or available in the breast morphology/molecular prototypes.",False
TCGA-EW-A1P7,what was the grade assigned to the breast cancer according to the nottingham score?,"[""grade 1"", ""grade 2"", ""grade 3"", ""grade 4""]",phenotype_direct,direct,"[""P006""]","[""histologic_grade_label""]",1.0,"The question explicitly asks for the Nottingham grade, which corresponds directly to the 'histologic_grade_label' field (P006) covering Grade 1, 2, and 3.",True
TCGA-EW-A1P7,what was the nuclear grade of the ductal adenocarcinoma found in the breast mass?,"[""low"", ""moderate"", ""high"", ""very high""]",phenotype_direct,direct,"[""P006""]","[""histologic_grade_label""]",1.0,"The question explicitly asks for the nuclear grade of the carcinoma, which directly corresponds to the 'histologic_grade_label' field (P006) in the prototype catalog.",True
TCGA-EW-A1P7,what were the results of the tumor margin assessment?,"[""positive"", ""negative"", ""inconclusive"", ""not mentioned""]",nonvisual,none,[],[],0.0,"The question asks for the results of a tumor margin assessment, which is a clinical report finding regarding surgical resection status, not a histologic feature visible on H&E or a WSI-derived phenotype prediction.",False
TCGA-EW-A1P7,what was the receptor status for estrogen receptor (er) and progesterone receptor (pr)?,"[""positive"", ""negative"", ""inconclusive"", ""not mentioned""]",phenotype_direct,direct,"[""P013"", ""P014""]","[""ER_status_label"", ""PR_status_label""]",1.0,"The question explicitly asks for ER and PR receptor status, which are directly covered by prototypes P013 (ER_status_label) and P014 (PR_status_label).",False
TCGA-EW-A1P7,what was the receptor status for her 2-neu?,"[""positive"", ""negative"", ""equivocal"", ""not mentioned""]",nonvisual,none,[],[],0.0,"The question explicitly asks for the result of a specific molecular assay (HER2-neu), which is a measured clinical fact or report finding, not a WSI-derived morphological prediction.",False
TCGA-BH-A0DG,what is the pathological stage of the tumor?,"[""pt0n0"", ""pt2n0"", ""pt1n1"", ""pt3n2""]",nonvisual,none,[],[],0.0,"Pathological stage (pTNM) is a composite clinical metric requiring tumor size, nodal status, and metastasis data from the pathology report, which cannot be derived from WSI morphology or the provided catalog prototypes.",False
TCGA-BH-A0DG,what percentage of the tumor volume comprises the in situ component?,"[""approximately 30%"", ""approximately 15%"", ""approximately 5%"", ""approximately 20%""]",nonvisual,none,[],[],0.0,"The question asks for a specific quantitative percentage of tumor volume comprising the in situ component, which is a precise measurement or report-dependent fact not derivable from WSI-derived phenotype prototypes or direct H&E visual inspection alone.",False
TCGA-BH-A0DG,what is the grade of the tumor according to the nottingham score?,"[""grade 1"", ""grade 2"", ""grade 3"", ""grade 4""]",phenotype_direct,direct,"[""P006""]","[""histologic_grade_label""]",1.0,"Prototype P006 directly provides the histologic grade label (Grade 1, 2, or 3) which corresponds to the Nottingham score grading system requested in the question.",True
TCGA-BH-A0DG,what is the hormonal receptor status of the tumor?,"[""er-negative, pr-negative, her-2-positive"", ""er-positive, pr-positive, her-2-negative"", ""er-negative, pr-positive, her-2-negative"", ""er-positive, pr-negative, her-2-negative""]",phenotype_direct,direct,"[""P013"", ""P014"", ""P015""]","[""ER_status_label"", ""PR_status_label"", ""HER2_status_label""]",1.0,"The question explicitly asks for ER, PR, and HER2 status, which are directly covered by prototypes P013, P014, and P015 respectively.",True
TCGA-BH-A0DG,what type of breast tissue is present besides the tumor?,"[""fibroadenoma only"", ""fibrocystic change only"", ""both fibrocystic change and fibroadenoma"", ""non-neoplastic breast tissue""]",morphology_only,none,[],[],0.0,"The question asks for the identification of specific benign background entities (fibroadenoma, fibrocystic change) surrounding the tumor, which are distinct histologic patterns not covered by the provided tumor-centric catalog prototypes (P001-P017).",True
TCGA-BH-A0DD,what is the histological finding of the breast simple mastectomy?,"[""ductal carcinoma in situ,"", ""adipose breast tissue,"", ""nuclear pleomorphism and mitotic activity,"", ""lymphoplasmacytic infiltrate and necrosis""]",phenotype_direct,direct,"[""P001""]","[""histological_type_label""]",0.95,"The question asks for the specific histological finding (diagnosis) of the mastectomy specimen, which directly maps to the 'histological_type_label' prototype (P001) that categorizes breast cancer types like DCIS, IDC, etc.",True
TCGA-BH-A0DD,what is the histological finding of the modified radical mastectomy?,"[""ductal carcinoma in situ,"", ""ductal epithelial hyperplasia,"", ""lymphoplasmacytic infiltrate and necrosis,"", ""skin and nipple are histologically unremarkable""]",phenotype_direct,direct,"[""P001"", ""P004""]","[""histological_type_label"", ""dcis_binary""]",0.95,"The question asks for the histological finding, which corresponds to the histological type (P001) and the presence of DCIS (P004) as listed in the choices.",True
TCGA-BH-A0DD,what is the classification of the invasive component of the tumor?,"[""ductal adenocarcinoma, nuclear grade 2,"", ""ductal carcinoma in situ,"", ""tubule maton score of 3,"", ""nottingham score of 8""]",phenotype_direct,direct,"[""P001"", ""P006"", ""P011""]","[""histological_type_label"", ""histologic_grade_label"", ""nottingham_total_score""]",0.95,"The question asks for the classification of the invasive component, which directly maps to the histological type (P001), nuclear grade (P006), and Nottingham score (P011) available in the catalog prototypes.",True
TCGA-BH-A0DD,what is the receptor status mentioned in the slide?,"[""estrogen receptors are positive,"", ""progesterone receptors are positive,"", ""both estrogen and progesterone receptors are positive,"", ""receptor status is not mentioned""]",nonvisual,none,[],[],0.0,"The question explicitly asks for the receptor status 'mentioned in the slide', which refers to a specific text finding or report documentation rather than a visual histologic feature or WSI-derived molecular prediction available in the catalog.",False
TCGA-B6-A0IA,what type of carcinoma was found in the patient's breast biopsy?,"[""infiltrating carcinoma"", ""hyperplasia"", ""fibrosis"", ""metaplasia""]",phenotype_direct,direct,"[""P001""]","[""histological_type_label""]",1.0,"The question asks for the specific histological type of carcinoma, which is directly covered by the 'histological_type_label' field in prototype P001.",True
TCGA-B6-A0IA,what is the size of the tumor found in the patient's breast?,"[""2.0 cm"", ""1.5 cm"", ""2.5 cm"", ""3.0 cm""]",nonvisual,none,[],[],0.0,Tumor size is a macroscopic clinical measurement not derivable from H&E morphology or WSI-derived phenotype prototypes.,False
TCGA-B6-A0IA,what other changes were found in the patient's breast?,"[""hyperplasia"", ""fibrosis"", ""metaplasia"", ""dilated ducts""]",morphology_only,none,[],[],0.0,"The question asks for 'other changes' with choices (hyperplasia, fibrosis, metaplasia, dilated ducts) that represent general histologic findings or architectural patterns not covered by the specific diagnostic prototypes (carcinoma types, grade, receptors) in the catalog.",True
TCGA-B6-A0IA,was there any residual carcinoma in the previous biopsy site?,"[""no"", ""yes"", ""not mentioned"", ""none of the above""]",nonvisual,none,[],[],0.0,"The question asks about the status of a 'previous biopsy site', which is a historical clinical record or report fact, not a feature visible in the current Whole Slide Image (WSI) or derivable from the provided morphology prototypes.",False
TCGA-AC-A2FF,what type of carcinoma did the patient have?,"[""ductal carcinoma"", ""invasive carcinoma"", ""lobular carcinoma"", ""metastatic carcinoma""]",phenotype_direct,direct,"[""P001""]","[""histological_type_label""]",1.0,"The question asks for the specific histological type of carcinoma, which is directly covered by the 'histological_type_label' field in prototype P001.",True
TCGA-AC-A2FF,where was the metastatic involvement found?,"[""breast tissue"", ""lymph nodes"", ""chest cavity"", ""abdominal organs""]",nonvisual,none,[],[],0.0,"The question asks for the specific anatomical location of metastatic involvement (e.g., lymph nodes, chest cavity), which is a clinical staging or macroscopic finding not derivable from H&E morphology or the provided WSI-derived phenotype prototypes.",False
TCGA-AC-A2FF,what type of procedure did the patient undergo?,"[""mastectomy"", ""lumpectomy"", ""biopsy"", ""lymph node dissection""]",nonvisual,none,[],[],0.0,"The question asks for the surgical procedure performed (mastectomy, lumpectomy, etc.), which is a clinical treatment fact found in the patient's report or history, not a histologic feature visible on H&E or derivable from the provided WSI phenotype prototypes.",False
TCGA-AC-A2FF,what additional tests were performed?,"[""magnetic resonance imaging"", ""computed tomography scan"", ""positron emission tomography scan"", ""immunostains""]",nonvisual,none,[],[],0.0,"The question asks for a list of specific clinical tests (MRI, CT, PET, immunostains) performed on the patient, which is metadata or report-dependent information not derivable from WSI morphology or molecular phenotype prototypes.",False
TCGA-AC-A2FF,what does the surgical slide provide information on?,"[""patient demographics"", ""treatment plan"", ""tumor size and characteristics"", ""prognosis""]",phenotype_direct,partial,"[""P001"", ""P006"", ""P007"", ""P010""]","[""histological_type_label"", ""histologic_grade_label"", ""lymphovascular_invasion_label"", ""microcalcification_binary""]",0.85,"The question asks for information provided by the surgical slide, which encompasses histological type (P001), grade (P006), lymphovascular invasion (P007), and microcalcification (P010) visible on H&E, though it does not specify which exact feature is being queried, making the match partial but substantively useful.",True
TCGA-AC-A2FF,what type of node was involved in the metastatic carcinoma?,"[""sentinel lymph node"", ""axillary lymph node"", ""inguinal lymph node"", ""paraaortic lymph node""]",nonvisual,none,[],[],0.0,"The question asks for the anatomical location of the involved lymph node (sentinel, axillary, inguinal, or paraaortic), which is a clinical/macroscopic finding determined by surgical procedure and patient history, not a histologic feature visible on H&E or derivable from the provided WSI phenotype prototypes.",False
TCGA-AC-A2FG,what is the histological type of the breast tumor?,"[""invasive ductal carcinoma"", ""invasive lobular carcinoma"", ""benign tumor"", ""metastatic carcinoma""]",phenotype_direct,direct,"[""P001""]","[""histological_type_label""]",1.0,"The question asks for the histological type of the breast tumor, which is directly covered by prototype P001 (histological_type_label) that classifies tumors into ductal, lobular, medullary, etc.",True
TCGA-AC-A2FG,what is the size of the tumor?,"[""0.8 cm"", ""1.5 cm"", ""2.1 cm"", ""2.8 cm""]",nonvisual,none,[],[],0.0,Tumor size is a macroscopic clinical measurement not derivable from H&E morphology or WSI-derived phenotype prototypes.,False
TCGA-AC-A2FG,what is the elston modification of bloom-richardson grade?,"[""grade 1/3"", ""grade 2/3"", ""grade 3/3"", ""not specified""]",phenotype_direct,direct,"[""P006""]","[""histologic_grade_label""]",1.0,"The question asks for the Elston modification of the Bloom-Richardson grading system, which corresponds directly to the histologic_grade_label field (P006) that categorizes tumors into Grade 1, 2, or 3.",True
TCGA-AC-A2FG,what is the status of the surgical margins?,"[""negative"", ""positive"", ""uncertain"", ""tumor not transected""]",nonvisual,none,[],[],0.0,"Surgical margin status is a clinical report fact determined by macroscopic examination and pathologist review of the specimen edges, not a feature visible or predictable from WSI morphology or the provided catalog prototypes.",False
TCGA-AC-A2FG,what other findings were observed in the pathological slide?,"[""no other findings"", ""fibroids and hemorrhage"", ""ductal carcinoma in situ"", ""axillary node involvement""]",morphology_only,none,[],[],0.0,"The question asks for 'other findings' which is a generic, open-ended request for any visible histologic features (e.g., inflammation, stromal changes, benign entities) not covered by specific catalog prototypes like histologic type or grade; therefore, no single prototype covers the core target, and the task requires direct visual assessment of the slide.",True
TCGA-A2-A259,what was the grade of the invasive ductal carcinoma present in the patient's breast?,"[""grade 1"", ""grade 2"", ""grade 3"", ""grade 4""]",phenotype_direct,direct,"[""P006""]","[""histologic_grade_label""]",1.0,"The question explicitly asks for the histologic grade of the invasive ductal carcinoma, which is directly covered by prototype P006 (histologic_grade_label).",True
