case_id,question,choices,route,task_match,selected_prototype_ids,target_phenotypes,phenotype_relevance_score,reason,use_pathology_agent
TCGA-BH-A0AZ,what were the results of the immunohistochemical staining?,"[""positive estrogen and negative progesterone receptors"", ""negative estrogen and positive progesterone receptors"", ""equivocal estrogen and progesterone receptors"", ""negative estrogen and negative progesterone receptors""]",phenotype_direct,direct,"[""P013"", ""P014""]","[""ER_status_label"", ""PR_status_label""]",1.0,"The question asks for the results of immunohistochemical staining for estrogen and progesterone receptors, which are directly covered by the ER_status_label (P013) and PR_status_label (P014) prototypes that provide positive/negative status.",True
TCGA-EW-A1PF,what is the total size of the tumor?,"[""1.0 cm"", ""2.0 cm"", ""3.0 cm"", ""4.0 cm""]",nonvisual,none,[],[],0.0,"Total tumor size is a macroscopic measurement requiring whole-specimen assessment or clinical report data, which cannot be determined from local H&E morphology patches or the available WSI-derived phenotype prototypes.",False
TCGA-EW-A1PF,what is the grade of the invasive ductal carcinoma?,"[""grade 1"", ""grade 2"", ""grade 3"", ""grade 4""]",phenotype_direct,direct,"[""P006""]","[""histologic_grade_label""]",1.0,"The question asks for the histologic grade (Grade 1, 2, or 3), which is directly covered by the histologic_grade_label prototype (P006) that distinguishes low, intermediate, and high grades.",True
TCGA-EW-A1PF,what is the size of the comedo necrosis in the ductal carcinoma in situ?,"[""less than 1%"", ""less than 3%"", ""less than 5%"", ""less than 7%""]",nonvisual,none,[],[],0.0,"The question asks for a specific quantitative measurement (percentage size) of comedo necrosis, which requires exact morphometric assessment or report data not covered by the available binary (yes/no) prototypes or general histological type predictions.",False
TCGA-EW-A1PF,what is the pending immunohistochemistry for?,"[""keratin"", ""estrogen receptor"", ""progesterone receptor"", ""her2/neu""]",nonvisual,none,[],[],0.0,"The question asks for the purpose of a specific pending immunohistochemistry test, which is a metadata or report-dependent fact not derivable from WSI morphology or molecular status prototypes.",False
TCGA-BH-A0BV,what is the size of the infiltrating ductal carcinoma in the breast?,"[""2.0 cm"", ""3.0 cm"", ""2 mm"", ""1.5 cm""]",nonvisual,none,[],[],0.0,"Tumor size is a macroscopic measurement requiring whole-specimen assessment or clinical report data, which cannot be determined from local H&E morphology patches or the provided histological phenotype prototypes.",False
TCGA-BH-A0BV,what is the nottingham score of the infiltrating ductal carcinoma?,"[""7/9"", ""5/9"", ""9/9"", ""6/9""]",nonvisual,none,[],[],0.0,"The Nottingham score is a calculated integer (e.g., 7/9) derived from specific mitotic count, tubule formation, and nuclear pleomorphism scores; the available prototypes only provide categorical grades (low/intermediate/high) or binary features, which cannot distinguish the specific numerical choices provided.",False
TCGA-BH-A0BV,what is the closest margin of resection for the infiltrating ductal carcinoma?,"[""2.0 cm"", ""1.5 cm"", ""3.0 cm"", ""0.5 cm""]",nonvisual,none,[],[],0.0,"The question asks for a specific macroscopic measurement (margin distance in cm), which is a clinical/pathology report fact or gross specimen measurement not derivable from H&E morphology prototypes or WSI visual analysis.",False
TCGA-BH-A0BV,what is the tumor type of the ductal carcinoma in situ?,"[""solid and cribriform"", ""papillary and atypical"", ""infiltrating and lobular"", ""metastatic and invasive""]",morphology_only,none,[],[],0.0,"The question asks for specific architectural patterns (solid, cribriform, papillary) within a known diagnosis of DCIS, which are local H&E morphological features not covered by the provided histological-type prototype that only distinguishes broad carcinoma categories.",True
TCGA-BH-A0BV,what is the pathological stage of the breast cancer?,"[""t1 n0 m0"", ""t2 n1 mx"", ""t3 n2 m1"", ""t4 n3 m2""]",nonvisual,none,[],[],0.0,"The question asks for the specific TNM pathological stage (T1 N0 M0, etc.), which requires exact measurements of tumor size, lymph node status, and distant metastasis that are not covered by the available WSI-derived morphology or general clinical prototypes.",False
TCGA-BH-A202,what was the size of the primary invasive carcinoma?,"[""2.8 cm"", ""4 mm"", ""0.4 cm"", ""3 mm""]",nonvisual,none,[],[],0.0,"Tumor size is a macroscopic measurement requiring whole-specimen assessment or report data, which cannot be determined from local H&E morphology patches or the available WSI-derived phenotype prototypes.",False
TCGA-BH-A202,what was the score for estrogen receptors?,"[""250"", ""78"", ""positive"", ""negative""]",nonvisual,none,[],[],0.0,"The question asks for a specific numerical 'score' (250, 78), which implies a quantitative measurement or a specific Allred/percentage value not covered by the binary (positive/negative) ER status prototype (P013); exact measured assay results are nonvisual.",False
TCGA-BH-A202,what type of carcinoma was found in the breast segmental mastectomy?,"[""invasive ductal carcinoma"", ""papilloma"", ""no special type"", ""fibroadenomatous changes""]",phenotype_direct,direct,"[""P001""]","[""histological_type_label""]",1.0,"The question asks for the specific histologic type of carcinoma, which is directly covered by the 'histological_type_label' prototype (P001) that distinguishes between ductal, lobular, and other carcinoma types, effectively resolving the choice between 'invasive ductal carcinoma' and the other non-carcinoma or different carcinoma options.",True
TCGA-BH-A202,was lymphovascular invasion identified?,"[""yes"", ""no"", ""not mentioned"", ""negative""]",phenotype_direct,direct,"[""P007""]","[""lymphovascular_invasion_label""]",1.0,"The question asks for the presence of lymphovascular invasion, which is directly covered by the lymphovascular_invasion_label prototype (P007) distinguishing between negative and positive.",True
TCGA-BH-A202,what was the pathologic stage?,"[""pt4an0mx"", ""negative"", ""positive"", ""in situ component""]",nonvisual,none,[],[],0.0,"Pathologic stage (e.g., pT4a) is a composite clinical-pathologic classification requiring tumor size, nodal status, and metastasis data not available from local H&E morphology or the provided WSI-derived phenotype prototypes.",False
TCGA-BH-A202,was there amplification of the her2/neu gene?,"[""no"", ""yes"", ""negative"", ""positive""]",nonvisual,none,[],[],0.0,"The question asks for a specific molecular assay result ('amplification'), which is a measured laboratory fact (FISH/IHC score) not covered by the available WSI-derived phenotype prototypes that only predict general HER2 status.",False
TCGA-AR-A0U3,what type of cancer was found in the breast?,"[""invasive ductal adenocarcinoma"", ""nottingham grade iii"", ""ductal carcinoma in-situ"", ""invasive lobular carcinoma""]",phenotype_direct,direct,"[""P001""]","[""histological_type_label""]",1.0,"The question asks for the specific histologic type of cancer, and prototype P001 (histological_type_label) directly covers the distinction between invasive ductal, invasive lobular, and in-situ ductal carcinoma types listed in the choices.",True
TCGA-AR-A0U3,what was the size of the tumor?,"[""2.3 x 2.0 cm"", ""3.5 x 2.0 cm"", ""2.0 x 2.0 cm"", ""2.5 x 3.0 cm""]",nonvisual,none,[],[],0.0,"Tumor size is a macroscopic measurement requiring gross pathology or report data, which cannot be determined from WSI-derived morphological prototypes or local H&E patches.",False
TCGA-AR-A0U3,what was the stage classification of the tumor?,"[""t0"", ""t1"", ""t2"", ""t3""]",nonvisual,none,[],[],0.0,"T-stage classification (t0-t3) is a clinical metric dependent on tumor size and invasion extent, which cannot be determined from local H&E morphology patches or the available WSI-derived phenotype prototypes.",False
TCGA-AR-A0U3,how much of the tumor was accounted for by ductal carcinoma in-situ?,"[""5%"", ""15%"", ""10%"", ""20%""]",nonvisual,none,[],[],0.0,"The question asks for a specific quantitative percentage of tumor composition, which is a global specimen measurement not covered by the available WSI-derived binary or categorical prototypes that only indicate presence/absence or type.",False
TCGA-AR-A0U3,what was the result of the estrogen receptor (er) staining?,"[""negative"", ""positive with less than 10% nuclear staining"", ""positive with more than 10% nuclear staining"", ""variable staining""]",phenotype_direct,direct,"[""P013""]","[""ER_status_label""]",1.0,"The question asks for the ER staining result, which is directly covered by the ER_status_label prototype (P013) that distinguishes between negative and positive status, aligning with the binary nature of the provided choices.",True
TCGA-AO-A0JE,what is the grade of the invasive ductal carcinoma?,"[""low grade"", ""intermediate grade"", ""high grade"", ""not mentioned""]",phenotype_direct,direct,"[""P006""]","[""histologic_grade_label""]",1.0,"The question asks for the histologic grade of invasive ductal carcinoma, which is directly covered by the histologic_grade_label prototype (P006) that distinguishes low, intermediate, and high grades.",True
TCGA-AO-A0JE,what additional findings are present in the tumor?,"[""no additional findings"", ""calcifications and microvascular invasion"", ""focal atypical ductal hyperplasia"", ""benign changes in the surrounding breast tissue""]",morphology_only,none,[],[],0.0,"The question asks for a composite list of specific local H&E morphological findings (calcifications, microvascular invasion, atypical hyperplasia, benign changes) that are not fully covered by the available prototype labels, which only provide binary or multiclass status for specific features like microcalcification or LVI individually but not the combined 'additional findings' diagnosis.",True
TCGA-AO-A0JE,what is found in the surrounding breast tissue?,"[""benign changes"", ""high-grade ductal carcinoma"", ""ductal carcinoma in situ"", ""extranodal extension""]",morphology_only,none,[],[],0.0,"The question asks for the nature of the 'surrounding breast tissue' (benign changes vs. carcinoma), which requires assessing local H&E morphology of non-tumor areas; available prototypes only cover tumor-specific histological types, grades, and molecular statuses, failing to distinguish benign background patterns like fibroadenoma or fibrocystic change from carcinoma.",True
TCGA-AO-A0JE,where were receptor studies performed?,"[""on the sentinel lymph nodes"", ""on the right breast mass"", ""on the surrounding breast tissue"", ""on the axillary lymph nodes""]",nonvisual,none,[],[],0.0,"The question asks for the specific anatomical location where receptor studies were performed, which is a procedural or report-fact detail not derivable from H&E morphology or molecular status prototypes.",False
TCGA-A1-A0SF,what is the size of the infiltrating ductal carcinoma in the breast?,"[""1.4 cm"", ""2.4 cm"", ""3.4 cm"", ""4.4 cm""]",nonvisual,none,[],[],0.0,"Tumor size is a macroscopic measurement requiring whole-specimen assessment or clinical report data, which cannot be determined from local H&E morphology patches or the available WSI-derived phenotype prototypes.",False
TCGA-A1-A0SF,what is the grade of the invasive tumor in the breast?,"[""grade 1"", ""grade 2"", ""grade 3"", ""grade 4""]",phenotype_direct,direct,"[""P006""]","[""histologic_grade_label""]",1.0,"The question asks for the tumor grade, which is directly covered by the histologic_grade_label prototype (P006) that distinguishes between grade 1, 2, and 3.",True
TCGA-A1-A0SF,what is the result of her2/neu testing?,"[""positive"", ""negative"", ""inconclusive"", ""not provided""]",phenotype_direct,direct,"[""P015""]","[""HER2_status_label""]",1.0,"The question asks for the HER2 testing result, which is directly covered by the HER2_status_label prototype (P015) that distinguishes between positive and negative statuses.",True
TCGA-A1-A0SF,what is the pathological finding in the soft tissue in the breast?,"[""infiltrating ductal carcinoma"", ""benign breast tissue"", ""microcalcifications associated with benign ducts and stroma"", ""non-proliferative fibrocystic change""]",morphology_only,none,[],[],0.0,"The question asks for a specific local H&E morphological diagnosis (distinguishing between benign entities like fibrocystic change, microcalcifications, and carcinoma) which is not covered by the provided histological-type prototypes that only list invasive/in-situ carcinoma labels.",True
TCGA-A1-A0SF,what is the pathological finding in the ovary?,"[""benign paratubal cyst"", ""malignant tumor"", ""endometriosis"", ""ovarian cyst""]",nonvisual,none,[],[],0.0,"The question asks for a pathological finding in the ovary (benign paratubal cyst, malignant tumor, endometriosis, ovarian cyst), which falls outside the breast-specific histological type and molecular phenotype prototypes provided; determining the specific ovarian lesion type requires local H&E morphology assessment of ovarian tissue not covered by the breast prototypes, making it a morphology-only task that cannot be resolved by the available breast-specific tools, thus defaulting to nonvisual as no breast prototype covers ovarian pathology.",False
TCGA-EW-A1P7,what was the grade assigned to the breast cancer according to the nottingham score?,"[""grade 1"", ""grade 2"", ""grade 3"", ""grade 4""]",phenotype_direct,direct,"[""P006""]","[""histologic_grade_label""]",1.0,"The question asks for the Nottingham grade, which maps directly to the histologic_grade_label prototype (P006) covering Grade 1, 2, and 3, distinguishing it from the invalid Grade 4 option.",True
TCGA-EW-A1P7,what was the nuclear grade of the ductal adenocarcinoma found in the breast mass?,"[""low"", ""moderate"", ""high"", ""very high""]",phenotype_direct,direct,"[""P006""]","[""histologic_grade_label""]",1.0,"The question asks for the nuclear grade of the ductal adenocarcinoma, which is directly covered by the histologic_grade_label prototype (P006) that distinguishes between low, intermediate, and high grades.",True
TCGA-EW-A1P7,what were the results of the tumor margin assessment?,"[""positive"", ""negative"", ""inconclusive"", ""not mentioned""]",nonvisual,none,[],[],0.0,"Tumor margin assessment results (positive/negative/inconclusive) are specific clinical report findings regarding the distance of tumor cells from the specimen edge, which cannot be determined from local H&E morphology patches or the provided WSI-derived phenotype prototypes.",False
TCGA-EW-A1P7,what was the receptor status for estrogen receptor (er) and progesterone receptor (pr)?,"[""positive"", ""negative"", ""inconclusive"", ""not mentioned""]",phenotype_direct,direct,"[""P013"", ""P014""]","[""ER_status_label"", ""PR_status_label""]",1.0,"Prototypes P013 (ER_status_label) and P014 (PR_status_label) directly cover the binary positive/negative status requested for both estrogen and progesterone receptors, matching the choice set.",True
TCGA-EW-A1P7,what was the receptor status for her 2-neu?,"[""positive"", ""negative"", ""equivocal"", ""not mentioned""]",phenotype_direct,direct,"[""P015""]","[""HER2_status_label""]",1.0,"The question asks for HER2 status, which is directly covered by the HER2_status_label prototype (P015) that distinguishes between positive and negative states.",True
TCGA-BH-A0DG,what is the pathological stage of the tumor?,"[""pt0n0"", ""pt2n0"", ""pt1n1"", ""pt3n2""]",nonvisual,none,[],[],0.0,"Pathological stage (pTNM) requires exact measurements of tumor size, lymph node count, and metastasis status which are global specimen facts not derivable from local H&E morphology or the provided WSI-derived phenotype prototypes.",False
TCGA-BH-A0DG,what percentage of the tumor volume comprises the in situ component?,"[""approximately 30%"", ""approximately 15%"", ""approximately 5%"", ""approximately 20%""]",nonvisual,none,[],[],0.0,"The question asks for a specific volumetric percentage of the in situ component, which is a quantitative measurement of tumor distribution and extent not covered by the available categorical prototypes (histological type, binary presence/absence, grade, or receptor status) nor assessable from local H&E morphology patches without a dedicated volumetric tool.",False
TCGA-BH-A0DG,what is the grade of the tumor according to the nottingham score?,"[""grade 1"", ""grade 2"", ""grade 3"", ""grade 4""]",phenotype_direct,direct,"[""P006""]","[""histologic_grade_label""]",1.0,"The Nottingham score is the standard method for assigning histologic grades (1, 2, or 3), and prototype P006 directly provides the histologic grade label corresponding to these choices.",True
TCGA-BH-A0DG,what is the hormonal receptor status of the tumor?,"[""er-negative, pr-negative, her-2-positive"", ""er-positive, pr-positive, her-2-negative"", ""er-negative, pr-positive, her-2-negative"", ""er-positive, pr-negative, her-2-negative""]",phenotype_direct,direct,"[""P013"", ""P014"", ""P015""]","[""ER_status_label"", ""PR_status_label"", ""HER2_status_label""]",1.0,"The question asks for ER, PR, and HER2 status, which are directly covered by prototypes P013, P014, and P015 respectively, allowing for a complete distinction among the provided choices.",True
TCGA-BH-A0DG,what type of breast tissue is present besides the tumor?,"[""fibroadenoma only"", ""fibrocystic change only"", ""both fibrocystic change and fibroadenoma"", ""non-neoplastic breast tissue""]",morphology_only,none,[],[],0.0,"The question asks for the specific nature of non-neoplastic background tissue (fibroadenoma vs. fibrocystic change), which requires detailed assessment of benign architectural patterns not covered by the provided carcinoma-focused prototypes.",True
TCGA-BH-A0DD,what is the histological finding of the breast simple mastectomy?,"[""ductal carcinoma in situ,"", ""adipose breast tissue,"", ""nuclear pleomorphism and mitotic activity,"", ""lymphoplasmacytic infiltrate and necrosis""]",morphology_only,none,[],[],0.0,"The question asks for a specific local histological finding (necrosis, inflammation, or benign tissue) among four descriptive options, none of which correspond to the discrete histological type labels covered by the available prototypes; therefore, no prototype sufficiently covers the semantic distinction required to resolve the choices directly.",True
TCGA-BH-A0DD,what is the histological finding of the modified radical mastectomy?,"[""ductal carcinoma in situ,"", ""ductal epithelial hyperplasia,"", ""lymphoplasmacytic infiltrate and necrosis,"", ""skin and nipple are histologically unremarkable""]",morphology_only,none,[],[],0.0,"The question asks for a comprehensive histological description of the entire mastectomy specimen (including benign background, skin, and nipple status), which requires assessing local H&E morphology across multiple tissue types rather than selecting a single high-level histological type label.",True
TCGA-BH-A0DD,what is the classification of the invasive component of the tumor?,"[""ductal adenocarcinoma, nuclear grade 2,"", ""ductal carcinoma in situ,"", ""tubule maton score of 3,"", ""nottingham score of 8""]",phenotype_direct,direct,"[""P001"", ""P006""]","[""histological_type_label"", ""histologic_grade_label""]",0.95,"The question asks for the classification of the invasive component, which requires distinguishing between invasive ductal carcinoma (P001) and other types, and determining the nuclear grade (P006) to match the specific choices provided.",True
TCGA-BH-A0DD,what is the receptor status mentioned in the slide?,"[""estrogen receptors are positive,"", ""progesterone receptors are positive,"", ""both estrogen and progesterone receptors are positive,"", ""receptor status is not mentioned""]",nonvisual,none,[],[],0.0,"The question asks for the specific receptor status 'mentioned in the slide', which refers to a documented pathology report fact or explicit text annotation rather than a visual morphological feature or WSI-derived molecular prediction; the available prototypes provide only predicted binary status (positive/negative) and do not capture the specific phrasing or presence/absence of the status in the slide's text.",False
TCGA-B6-A0IA,what type of carcinoma was found in the patient's breast biopsy?,"[""infiltrating carcinoma"", ""hyperplasia"", ""fibrosis"", ""metaplasia""]",phenotype_direct,direct,"[""P001""]","[""histological_type_label""]",1.0,"The question asks for the specific histologic type of carcinoma, which is directly covered by the 'histological_type_label' prototype (P001) that distinguishes between infiltrating ductal, lobular, and other carcinoma types versus non-carcinoma entities like hyperplasia.",True
TCGA-B6-A0IA,what is the size of the tumor found in the patient's breast?,"[""2.0 cm"", ""1.5 cm"", ""2.5 cm"", ""3.0 cm""]",nonvisual,none,[],[],0.0,"Tumor size is a macroscopic measurement requiring clinical data or gross pathology report, which cannot be determined from H&E morphology or the available WSI-derived phenotype prototypes.",False
TCGA-B6-A0IA,what other changes were found in the patient's breast?,"[""hyperplasia"", ""fibrosis"", ""metaplasia"", ""dilated ducts""]",morphology_only,none,[],[],0.0,"The question asks for specific benign architectural changes (hyperplasia, fibrosis, metaplasia, dilated ducts) which are local H&E morphological features not covered by the provided carcinoma-focused prototypes.",True
TCGA-B6-A0IA,was there any residual carcinoma in the previous biopsy site?,"[""no"", ""yes"", ""not mentioned"", ""none of the above""]",nonvisual,none,[],[],0.0,"The question asks about the status of a 'previous biopsy site', which is a historical clinical fact or report finding not assessable from the current WSI morphology or any available phenotype prototype.",False
TCGA-AC-A2FF,what type of carcinoma did the patient have?,"[""ductal carcinoma"", ""invasive carcinoma"", ""lobular carcinoma"", ""metastatic carcinoma""]",phenotype_direct,direct,"[""P001""]","[""histological_type_label""]",1.0,"The histological_type_label prototype (P001) explicitly distinguishes between ductal, lobular, and other specific carcinoma types, directly resolving the semantic distinction in the choices.",True
TCGA-AC-A2FF,where was the metastatic involvement found?,"[""breast tissue"", ""lymph nodes"", ""chest cavity"", ""abdominal organs""]",nonvisual,none,[],[],0.0,"The question asks for the specific anatomical location of metastasis (e.g., lymph nodes, chest cavity), which is a global specimen or clinical staging fact not resolvable by local H&E morphology prototypes or WSI-derived histological predictions.",False
TCGA-AC-A2FF,what type of procedure did the patient undergo?,"[""mastectomy"", ""lumpectomy"", ""biopsy"", ""lymph node dissection""]",nonvisual,none,[],[],0.0,"The question asks for the surgical procedure (mastectomy, lumpectomy, etc.), which is a clinical metadata fact regarding the extent of resection and cannot be determined from H&E morphology or the provided histological/molecular prototypes.",False
TCGA-AC-A2FF,what additional tests were performed?,"[""magnetic resonance imaging"", ""computed tomography scan"", ""positron emission tomography scan"", ""immunostains""]",nonvisual,none,[],[],0.0,"The question asks for a list of additional tests performed (e.g., MRI, CT, PET, immunostains), which is a metadata or clinical history fact not derivable from H&E morphology or the provided WSI-derived phenotype prototypes.",False
TCGA-AC-A2FF,what does the surgical slide provide information on?,"[""patient demographics"", ""treatment plan"", ""tumor size and characteristics"", ""prognosis""]",nonvisual,none,[],[],0.0,"The question asks for a broad summary of information provided by the slide, including patient demographics, treatment, and prognosis, which are clinical metadata or outcomes not assessable from local H&E morphology or covered by the available phenotype prototypes.",False
TCGA-AC-A2FF,what type of node was involved in the metastatic carcinoma?,"[""sentinel lymph node"", ""axillary lymph node"", ""inguinal lymph node"", ""paraaortic lymph node""]",nonvisual,none,[],[],0.0,"The question asks for the specific anatomical location of the involved lymph node (sentinel vs. axillary vs. inguinal vs. paraaortic), which is a macroscopic clinical finding or report fact not derivable from H&E morphology or the provided histological/molecular prototypes.",False
TCGA-AC-A2FG,what is the histological type of the breast tumor?,"[""invasive ductal carcinoma"", ""invasive lobular carcinoma"", ""benign tumor"", ""metastatic carcinoma""]",phenotype_direct,direct,"[""P001""]","[""histological_type_label""]",1.0,"The question asks for the histological type, which is directly covered by the 'histological_type_label' prototype (P001) that distinguishes between ductal, lobular, and other carcinoma types.",True
TCGA-AC-A2FG,what is the size of the tumor?,"[""0.8 cm"", ""1.5 cm"", ""2.1 cm"", ""2.8 cm""]",nonvisual,none,[],[],0.0,"Tumor size is a macroscopic measurement requiring whole-specimen assessment or clinical report data, which cannot be determined from local H&E morphology patches or the available WSI-derived phenotype prototypes.",False
TCGA-AC-A2FG,what is the elston modification of bloom-richardson grade?,"[""grade 1/3"", ""grade 2/3"", ""grade 3/3"", ""not specified""]",nonvisual,none,[],[],0.0,"The question asks for the specific definition or modification of the Elston modification of the Bloom-Richardson grading system, which is a theoretical/historical classification framework, not a visual feature assessable from WSI patches or a direct phenotype prediction.",False
