updated_at,processed,selected_total,answered,abstained,coverage,selective_accuracy,correct,errors,accuracy,accuracy_scorable,supported_accuracy,unsupported_accuracy,json_parse_failures,answers_outside_choices,multifield_incomplete,structured_overrides,tumor_type_accuracy,receptor_status_accuracy,her2_expression_accuracy,histological_grading_accuracy,molecular_subtype_accuracy,case_id,task,task_match,dataset_task,slidebench_category,last_correct,last_error
2026-08-30T17:19:19+08:00,2,1058,2,0,1.0,0.0,0,0,0.0,0.0,0.0,,0,0,0,0,0.0,,,,,2,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T17:20:25+08:00,3,1058,3,0,1.0,0.0,0,0,0.0,0.0,0.0,,0,0,0,0,0.0,,,,,3,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T17:21:35+08:00,4,1058,4,0,1.0,0.25,1,0,0.25,0.25,0.25,,0,0,0,0,0.25,,,,,4,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:22:49+08:00,5,1058,5,0,1.0,0.2,1,0,0.2,0.2,0.2,,0,0,0,0,0.2,,,,,5,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T17:24:30+08:00,6,1058,6,0,1.0,0.16666666666666666,1,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,,0,0,0,0,0.16666666666666666,,,,,6,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T17:25:37+08:00,7,1058,7,0,1.0,0.14285714285714285,1,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,,0,0,0,0,0.14285714285714285,,,,,7,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T17:26:43+08:00,8,1058,8,0,1.0,0.125,1,0,0.125,0.125,0.125,,0,0,0,0,0.125,,,,,8,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T17:28:02+08:00,9,1058,9,0,1.0,0.1111111111111111,1,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,,0,0,0,0,0.1111111111111111,,,,,9,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T17:35:44+08:00,1,1058,1,0,1.0,0.0,0,0,0.0,0.0,0.0,,0,0,0,0,0.0,,,,,1,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T17:35:55+08:00,2,1058,2,0,1.0,0.5,1,0,0.5,0.5,0.5,,0,0,0,0,0.5,,,,,2,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:37:07+08:00,3,1058,3,0,1.0,0.3333333333333333,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0,0,0,0,0.3333333333333333,,,,,3,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T17:37:19+08:00,4,1058,4,0,1.0,0.25,1,0,0.25,0.25,0.25,,0,0,0,0,0.25,,,,,4,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T17:37:30+08:00,5,1058,5,0,1.0,0.4,2,0,0.4,0.4,0.4,,0,0,0,0,0.4,,,,,5,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:39:17+08:00,6,1058,6,0,1.0,0.3333333333333333,2,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0,0,0,0,0.3333333333333333,,,,,6,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T17:39:28+08:00,7,1058,7,0,1.0,0.42857142857142855,3,0,0.42857142857142855,0.42857142857142855,0.42857142857142855,,0,0,0,0,0.42857142857142855,,,,,7,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:39:39+08:00,8,1058,8,0,1.0,0.5,4,0,0.5,0.5,0.5,,0,0,0,0,0.5,,,,,8,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:39:50+08:00,9,1058,9,0,1.0,0.5555555555555556,5,0,0.5555555555555556,0.5555555555555556,0.5555555555555556,,0,0,0,0,0.5555555555555556,,,,,9,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:40:02+08:00,10,1058,10,0,1.0,0.6,6,0,0.6,0.6,0.6,,0,0,0,0,0.6,,,,,10,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:40:13+08:00,11,1058,11,0,1.0,0.6363636363636364,7,0,0.6363636363636364,0.6363636363636364,0.6363636363636364,,0,0,0,0,0.6363636363636364,,,,,11,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:40:25+08:00,12,1058,12,0,1.0,0.6666666666666666,8,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0,0,0,0,0.6666666666666666,,,,,12,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:40:36+08:00,13,1058,13,0,1.0,0.6923076923076923,9,0,0.6923076923076923,0.6923076923076923,0.6923076923076923,,0,0,0,0,0.6923076923076923,,,,,13,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:41:58+08:00,14,1058,14,0,1.0,0.6428571428571429,9,0,0.6428571428571429,0.6428571428571429,0.6428571428571429,,0,0,0,0,0.6428571428571429,,,,,14,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T17:42:10+08:00,15,1058,15,0,1.0,0.6666666666666666,10,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0,0,0,0,0.6666666666666666,,,,,15,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:43:32+08:00,16,1058,16,0,1.0,0.625,10,0,0.625,0.625,0.625,,0,0,0,0,0.625,,,,,16,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T17:43:43+08:00,17,1058,17,0,1.0,0.6470588235294118,11,0,0.6470588235294118,0.6470588235294118,0.6470588235294118,,0,0,0,0,0.6470588235294118,,,,,17,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:43:54+08:00,18,1058,18,0,1.0,0.6666666666666666,12,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0,0,0,0,0.6666666666666666,,,,,18,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:44:06+08:00,19,1058,19,0,1.0,0.6842105263157895,13,0,0.6842105263157895,0.6842105263157895,0.6842105263157895,,0,0,0,0,0.6842105263157895,,,,,19,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:45:46+08:00,20,1058,20,0,1.0,0.65,13,0,0.65,0.65,0.65,,0,0,0,0,0.65,,,,,20,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T17:48:06+08:00,21,1058,21,0,1.0,0.6190476190476191,13,0,0.6190476190476191,0.6190476190476191,0.6190476190476191,,0,0,0,0,0.6190476190476191,,,,,21,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T17:48:18+08:00,22,1058,22,0,1.0,0.6363636363636364,14,0,0.6363636363636364,0.6363636363636364,0.6363636363636364,,0,0,0,0,0.6363636363636364,,,,,22,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:48:29+08:00,23,1058,23,0,1.0,0.6521739130434783,15,0,0.6521739130434783,0.6521739130434783,0.6521739130434783,,0,0,0,0,0.6521739130434783,,,,,23,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:48:41+08:00,24,1058,24,0,1.0,0.6666666666666666,16,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0,0,0,0,0.6666666666666666,,,,,24,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:48:52+08:00,25,1058,25,0,1.0,0.68,17,0,0.68,0.68,0.68,,0,0,0,0,0.68,,,,,25,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:49:02+08:00,26,1058,26,0,1.0,0.6923076923076923,18,0,0.6923076923076923,0.6923076923076923,0.6923076923076923,,0,0,0,0,0.6923076923076923,,,,,26,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:49:14+08:00,27,1058,27,0,1.0,0.7037037037037037,19,0,0.7037037037037037,0.7037037037037037,0.7037037037037037,,0,0,0,0,0.7037037037037037,,,,,27,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:49:24+08:00,28,1058,28,0,1.0,0.7142857142857143,20,0,0.7142857142857143,0.7142857142857143,0.7142857142857143,,0,0,0,0,0.7142857142857143,,,,,28,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:49:35+08:00,29,1058,29,0,1.0,0.7241379310344828,21,0,0.7241379310344828,0.7241379310344828,0.7241379310344828,,0,0,0,0,0.7241379310344828,,,,,29,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:49:45+08:00,30,1058,30,0,1.0,0.7333333333333333,22,0,0.7333333333333333,0.7333333333333333,0.7333333333333333,,0,0,0,0,0.7333333333333333,,,,,30,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:51:09+08:00,31,1058,31,0,1.0,0.7096774193548387,22,0,0.7096774193548387,0.7096774193548387,0.7096774193548387,,0,0,0,0,0.7096774193548387,,,,,31,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T17:51:20+08:00,32,1058,32,0,1.0,0.71875,23,0,0.71875,0.71875,0.71875,,0,0,0,0,0.71875,,,,,32,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:51:31+08:00,33,1058,33,0,1.0,0.7272727272727273,24,0,0.7272727272727273,0.7272727272727273,0.7272727272727273,,0,0,0,0,0.7272727272727273,,,,,33,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:51:42+08:00,34,1058,34,0,1.0,0.7352941176470589,25,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,,0,0,0,0,0.7352941176470589,,,,,34,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:51:54+08:00,35,1058,35,0,1.0,0.7428571428571429,26,0,0.7428571428571429,0.7428571428571429,0.7428571428571429,,0,0,0,0,0.7428571428571429,,,,,35,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:52:05+08:00,36,1058,36,0,1.0,0.75,27,0,0.75,0.75,0.75,,0,0,0,0,0.75,,,,,36,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:52:17+08:00,37,1058,37,0,1.0,0.7567567567567568,28,0,0.7567567567567568,0.7567567567567568,0.7567567567567568,,0,0,0,0,0.7567567567567568,,,,,37,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:54:00+08:00,38,1058,38,0,1.0,0.7368421052631579,28,0,0.7368421052631579,0.7368421052631579,0.7368421052631579,,0,0,0,0,0.7368421052631579,,,,,38,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T17:54:10+08:00,39,1058,39,0,1.0,0.7435897435897436,29,0,0.7435897435897436,0.7435897435897436,0.7435897435897436,,0,0,0,0,0.7435897435897436,,,,,39,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:54:21+08:00,40,1058,40,0,1.0,0.75,30,0,0.75,0.75,0.75,,0,0,0,0,0.75,,,,,40,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:54:32+08:00,41,1058,41,0,1.0,0.7560975609756098,31,0,0.7560975609756098,0.7560975609756098,0.7560975609756098,,0,0,0,0,0.7560975609756098,,,,,41,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:54:43+08:00,42,1058,42,0,1.0,0.7619047619047619,32,0,0.7619047619047619,0.7619047619047619,0.7619047619047619,,0,0,0,0,0.7619047619047619,,,,,42,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:54:53+08:00,43,1058,43,0,1.0,0.7674418604651163,33,0,0.7674418604651163,0.7674418604651163,0.7674418604651163,,0,0,0,0,0.7674418604651163,,,,,43,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:56:23+08:00,44,1058,44,0,1.0,0.75,33,0,0.75,0.75,0.75,,0,0,0,0,0.75,,,,,44,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T17:56:34+08:00,45,1058,45,0,1.0,0.7555555555555555,34,0,0.7555555555555555,0.7555555555555555,0.7555555555555555,,0,0,0,0,0.7555555555555555,,,,,45,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:57:40+08:00,46,1058,46,0,1.0,0.7608695652173914,35,0,0.7608695652173914,0.7608695652173914,0.7608695652173914,,0,0,0,0,0.7608695652173914,,,,,46,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:57:51+08:00,47,1058,47,0,1.0,0.7446808510638298,35,0,0.7446808510638298,0.7446808510638298,0.7446808510638298,,0,0,0,0,0.7446808510638298,,,,,47,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T17:58:02+08:00,48,1058,48,0,1.0,0.75,36,0,0.75,0.75,0.75,,0,0,0,0,0.75,,,,,48,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:58:12+08:00,49,1058,49,0,1.0,0.7551020408163265,37,0,0.7551020408163265,0.7551020408163265,0.7551020408163265,,0,0,0,0,0.7551020408163265,,,,,49,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:59:38+08:00,50,1058,50,0,1.0,0.74,37,0,0.74,0.74,0.74,,0,0,0,0,0.74,,,,,50,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T17:59:48+08:00,51,1058,51,0,1.0,0.7450980392156863,38,0,0.7450980392156863,0.7450980392156863,0.7450980392156863,,0,0,0,0,0.7450980392156863,,,,,51,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T17:59:59+08:00,52,1058,52,0,1.0,0.75,39,0,0.75,0.75,0.75,,0,0,0,0,0.75,,,,,52,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:00:10+08:00,53,1058,53,0,1.0,0.7547169811320755,40,0,0.7547169811320755,0.7547169811320755,0.7547169811320755,,0,0,0,0,0.7547169811320755,,,,,53,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:00:21+08:00,54,1058,54,0,1.0,0.7592592592592593,41,0,0.7592592592592593,0.7592592592592593,0.7592592592592593,,0,0,0,0,0.7592592592592593,,,,,54,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:01:50+08:00,55,1058,55,0,1.0,0.7636363636363637,42,0,0.7636363636363637,0.7636363636363637,0.7636363636363637,,0,0,0,0,0.7636363636363637,,,,,55,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:02:00+08:00,56,1058,56,0,1.0,0.7678571428571429,43,0,0.7678571428571429,0.7678571428571429,0.7678571428571429,,0,0,0,0,0.7678571428571429,,,,,56,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:02:11+08:00,57,1058,57,0,1.0,0.7719298245614035,44,0,0.7719298245614035,0.7719298245614035,0.7719298245614035,,0,0,0,0,0.7719298245614035,,,,,57,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:02:20+08:00,58,1058,58,0,1.0,0.7758620689655172,45,0,0.7758620689655172,0.7758620689655172,0.7758620689655172,,0,0,0,0,0.7758620689655172,,,,,58,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:02:31+08:00,59,1058,59,0,1.0,0.7796610169491526,46,0,0.7796610169491526,0.7796610169491526,0.7796610169491526,,0,0,0,0,0.7796610169491526,,,,,59,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:02:41+08:00,60,1058,60,0,1.0,0.7833333333333333,47,0,0.7833333333333333,0.7833333333333333,0.7833333333333333,,0,0,0,0,0.7833333333333333,,,,,60,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:02:52+08:00,61,1058,61,0,1.0,0.7868852459016393,48,0,0.7868852459016393,0.7868852459016393,0.7868852459016393,,0,0,0,0,0.7868852459016393,,,,,61,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:03:03+08:00,62,1058,62,0,1.0,0.7903225806451613,49,0,0.7903225806451613,0.7903225806451613,0.7903225806451613,,0,0,0,0,0.7903225806451613,,,,,62,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:03:14+08:00,63,1058,63,0,1.0,0.7936507936507936,50,0,0.7936507936507936,0.7936507936507936,0.7936507936507936,,0,0,0,0,0.7936507936507936,,,,,63,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:03:24+08:00,64,1058,64,0,1.0,0.796875,51,0,0.796875,0.796875,0.796875,,0,0,0,0,0.796875,,,,,64,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:05:21+08:00,65,1058,65,0,1.0,0.7846153846153846,51,0,0.7846153846153846,0.7846153846153846,0.7846153846153846,,0,0,0,0,0.7846153846153846,,,,,65,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T18:05:32+08:00,66,1058,66,0,1.0,0.7878787878787878,52,0,0.7878787878787878,0.7878787878787878,0.7878787878787878,,0,0,0,0,0.7878787878787878,,,,,66,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:05:43+08:00,67,1058,67,0,1.0,0.7910447761194029,53,0,0.7910447761194029,0.7910447761194029,0.7910447761194029,,0,0,0,0,0.7910447761194029,,,,,67,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:05:54+08:00,68,1058,68,0,1.0,0.7941176470588235,54,0,0.7941176470588235,0.7941176470588235,0.7941176470588235,,0,0,0,0,0.7941176470588235,,,,,68,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:07:36+08:00,69,1058,69,0,1.0,0.782608695652174,54,0,0.782608695652174,0.782608695652174,0.782608695652174,,0,0,0,0,0.782608695652174,,,,,69,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T18:07:46+08:00,70,1058,70,0,1.0,0.7857142857142857,55,0,0.7857142857142857,0.7857142857142857,0.7857142857142857,,0,0,0,0,0.7857142857142857,,,,,70,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:08:56+08:00,71,1058,71,0,1.0,0.7746478873239436,55,0,0.7746478873239436,0.7746478873239436,0.7746478873239436,,0,0,0,1,0.7746478873239436,,,,,71,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T18:09:08+08:00,72,1058,72,0,1.0,0.7638888888888888,55,0,0.7638888888888888,0.7638888888888888,0.7638888888888888,,0,0,0,1,0.7638888888888888,,,,,72,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T18:09:19+08:00,73,1058,73,0,1.0,0.7671232876712328,56,0,0.7671232876712328,0.7671232876712328,0.7671232876712328,,0,0,0,1,0.7671232876712328,,,,,73,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:10:21+08:00,74,1058,74,0,1.0,0.7567567567567568,56,0,0.7567567567567568,0.7567567567567568,0.7567567567567568,,0,0,0,1,0.7567567567567568,,,,,74,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T18:11:39+08:00,75,1058,75,0,1.0,0.76,57,0,0.76,0.76,0.76,,0,0,0,1,0.76,,,,,75,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:11:51+08:00,76,1058,76,0,1.0,0.7631578947368421,58,0,0.7631578947368421,0.7631578947368421,0.7631578947368421,,0,0,0,1,0.7631578947368421,,,,,76,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:12:01+08:00,77,1058,77,0,1.0,0.7662337662337663,59,0,0.7662337662337663,0.7662337662337663,0.7662337662337663,,0,0,0,1,0.7662337662337663,,,,,77,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:12:13+08:00,78,1058,78,0,1.0,0.7692307692307693,60,0,0.7692307692307693,0.7692307692307693,0.7692307692307693,,0,0,0,1,0.7692307692307693,,,,,78,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:12:25+08:00,79,1058,79,0,1.0,0.7721518987341772,61,0,0.7721518987341772,0.7721518987341772,0.7721518987341772,,0,0,0,1,0.7721518987341772,,,,,79,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:12:35+08:00,80,1058,80,0,1.0,0.7625,61,0,0.7625,0.7625,0.7625,,0,0,0,1,0.7625,,,,,80,histological_type_label,direct,Tumor,tumor_type,False,
2026-08-30T18:12:47+08:00,81,1058,81,0,1.0,0.7654320987654321,62,0,0.7654320987654321,0.7654320987654321,0.7654320987654321,,0,0,0,1,0.7654320987654321,,,,,81,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:12:58+08:00,82,1058,82,0,1.0,0.7682926829268293,63,0,0.7682926829268293,0.7682926829268293,0.7682926829268293,,0,0,0,1,0.7682926829268293,,,,,82,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:13:09+08:00,83,1058,83,0,1.0,0.7710843373493976,64,0,0.7710843373493976,0.7710843373493976,0.7710843373493976,,0,0,0,1,0.7710843373493976,,,,,83,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:13:20+08:00,84,1058,84,0,1.0,0.7738095238095238,65,0,0.7738095238095238,0.7738095238095238,0.7738095238095238,,0,0,0,1,0.7738095238095238,,,,,84,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:13:31+08:00,85,1058,85,0,1.0,0.7764705882352941,66,0,0.7764705882352941,0.7764705882352941,0.7764705882352941,,0,0,0,1,0.7764705882352941,,,,,85,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:13:41+08:00,86,1058,86,0,1.0,0.7790697674418605,67,0,0.7790697674418605,0.7790697674418605,0.7790697674418605,,0,0,0,1,0.7790697674418605,,,,,86,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:13:53+08:00,87,1058,87,0,1.0,0.7816091954022989,68,0,0.7816091954022989,0.7816091954022989,0.7816091954022989,,0,0,0,1,0.7816091954022989,,,,,87,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:14:03+08:00,88,1058,88,0,1.0,0.7840909090909091,69,0,0.7840909090909091,0.7840909090909091,0.7840909090909091,,0,0,0,1,0.7840909090909091,,,,,88,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:14:15+08:00,89,1058,89,0,1.0,0.7865168539325843,70,0,0.7865168539325843,0.7865168539325843,0.7865168539325843,,0,0,0,1,0.7865168539325843,,,,,89,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:14:26+08:00,90,1058,90,0,1.0,0.7888888888888889,71,0,0.7888888888888889,0.7888888888888889,0.7888888888888889,,0,0,0,1,0.7888888888888889,,,,,90,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:14:38+08:00,91,1058,91,0,1.0,0.7912087912087912,72,0,0.7912087912087912,0.7912087912087912,0.7912087912087912,,0,0,0,1,0.7912087912087912,,,,,91,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:14:50+08:00,92,1058,92,0,1.0,0.7934782608695652,73,0,0.7934782608695652,0.7934782608695652,0.7934782608695652,,0,0,0,1,0.7934782608695652,,,,,92,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:15:01+08:00,93,1058,93,0,1.0,0.7956989247311828,74,0,0.7956989247311828,0.7956989247311828,0.7956989247311828,,0,0,0,1,0.7956989247311828,,,,,93,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:15:12+08:00,94,1058,94,0,1.0,0.7978723404255319,75,0,0.7978723404255319,0.7978723404255319,0.7978723404255319,,0,0,0,1,0.7978723404255319,,,,,94,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:15:23+08:00,95,1058,95,0,1.0,0.8,76,0,0.8,0.8,0.8,,0,0,0,1,0.8,,,,,95,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:16:59+08:00,96,1058,96,0,1.0,0.8020833333333334,77,0,0.8020833333333334,0.8020833333333334,0.8020833333333334,,0,0,0,1,0.8020833333333334,,,,,96,histological_type_label,direct,Tumor,tumor_type,True,
2026-08-30T18:17:11+08:00,97,1058,97,0,1.0,0.8041237113402062,78,0,0.8041237113402062,0.8041237113402062,0.8041237113402062,,0,0,0,1,0.8041237113402062,,,,,97,histological_type_label,direct,Tumor,tumor_type,True,
